CNY_PBoCInterestRateDecision;20230720;01:15;PBoC Interest Rate Decision;China;CNY;2
AUD_NationalAustraliaBankBusinessConfidence;20230720;01:30;National Australia Bank Business Confidence (QoQ);Australia;AUD;2
AUD_EmploymentChange;20230720;01:30;Employment Change s.a.;Australia;AUD;3
AUD_FullTimeEmployment;20230720;01:30;Full-Time Employment;Australia;AUD;2
AUD_PartTimeEmployment;20230720;01:30;Part-Time Employment;Australia;AUD;2
AUD_UnemploymentRate;20230720;01:30;Unemployment Rate s.a.;Australia;AUD;3
AUD_ParticipationRate;20230720;01:30;Participation Rate;Australia;AUD;2
COP_IndependenceDay;20230720;05:00;Independence Day;Colombia;COP;0
EUR_GerProducerPriceIndex;20230720;06:00;Producer Price Index (YoY);Germany;EUR;2
DKK_ConsumerConfidence;20230720;06:00;Consumer Confidence;Denmark;DKK;1
CHF_TradeBalance;20230720;06:00;Trade Balance;Switzerland;CHF;1
CHF_Exports;20230720;06:00;Exports (MoM);Switzerland;CHF;1
CHF_Imports;20230720;06:00;Imports (MoM);Switzerland;CHF;1
EUR_FraBusinessClimateinManufacturing;20230720;06:45;Business Climate in Manufacturing;France;EUR;1
TRY_ConsumerConfidence;20230720;07:00;Consumer Confidence;Turkey;TRY;1
PLN_IndustrialOutput;20230720;08:00;Industrial Output (YoY);Poland;PLN;1
PLN_ProducerPriceIndex;20230720;08:00;Producer Price Index (YoY);Poland;PLN;1
PLN_CorporateSectorWages;20230720;08:00;Corporate Sector Wages;Poland;PLN;1
EUR_EurCurrentAccount;20230720;08:00;Current Account s.a;European Monetary Union;EUR;1
ILS_IndustrialProduction;20230720;10:00;Industrial Production (MoM);Israel;ILS;1
TRY_CBRTInterestRateDecision;20230720;11:00;CBRT Interest Rate Decision;Turkey;TRY;2
MXN_RetailSales;20230720;12:00;Retail Sales (MoM);Mexico;MXN;1
USD_JoblessClaims;20230720;12:30;Continuing Jobless Claims;United States;USD;1
USD_PhiladelphiaFedManufacturingSurvey;20230720;12:30;Philadelphia Fed Manufacturing Survey;United States;USD;2
CAD_EmploymentInsuranceBeneficiariesChange;20230720;12:30;Employment Insurance Beneficiaries Change (MoM);Canada;CAD;1
ZAR_SARBInterestRateDecision;20230720;13:00;SARB Interest Rate Decision;South Africa;ZAR;1
RUB_CentralBankReserves;20230720;13:00;Central Bank Reserves $;Russia;RUB;1
USD_ExistingHomeSales;20230720;14:00;Existing Home Sales (MoM);United States;USD;1
USD_ExistingHomeSalesChange;20230720;14:00;Existing Home Sales Change (MoM);United States;USD;2
EUR_EurConsumerConfidence;20230720;14:00;Consumer Confidence;European Monetary Union;EUR;2
USD_EIANaturalGasStorageChange;20230720;14:30;EIA Natural Gas Storage Change;United States;USD;1
USD_Auction;20230720;17:00;10-year TIPS Auction;United States;USD;1
KRW_ProducerPriceIndex;20230720;21:00;Producer Price Index Growth (YoY);South Korea;KRW;1
GBP_GfKConsumerConfidence;20230720;23:01;GfK Consumer Confidence;United Kingdom;GBP;2
JPY_NationalCPIexFreshFood;20230720;23:30;National CPI ex-Fresh Food (YoY);Japan;JPY;2
JPY_ConsumerPriceIndex;20230720;23:30;National Consumer Price Index (YoY);Japan;JPY;2
JPY_NationalCPIexFoodEnergy;20230720;23:30;National CPI ex Food, Energy (YoY);Japan;JPY;2
JPY_ForeignInvestmentinJapanStocks;20230720;23:50;Foreign Investment in Japan Stocks;Japan;JPY;1
JPY_ForeignBondInvestment;20230720;23:50;Foreign Bond Investment;Japan;JPY;1
