JPY_JibunBankServicesPMI;20240507;00:30;Jibun Bank Services PMI;Japan;JPY;1
AUD_RBAMonetaryPolicyStatement;20240507;04:30;RBA Monetary Policy Statement;Australia;AUD;3
AUD_RBARateStatement;20240507;04:30;RBA Rate Statement;Australia;AUD;3
AUD_RBAInterestRateDecision;20240507;04:30;RBA Interest Rate Decision;Australia;AUD;3
AUD_RBAPressConference;20240507;05:30;RBA Press Conference;Australia;AUD;3
CHF_UnemploymentRate;20240507;05:45;Unemployment Rate s.a (MoM);Switzerland;CHF;1
EUR_GerTradeBalance;20240507;06:00;Trade Balance s.a.;Germany;EUR;2
EUR_GerExports;20240507;06:00;Exports (MoM);Germany;EUR;1
EUR_GerImports;20240507;06:00;Imports (MoM);Germany;EUR;1
EUR_GerFactoryOrders;20240507;06:00;Factory Orders s.a. (MoM);Germany;EUR;2
GBP_HalifaxHousePrices;20240507;06:00;Halifax House Prices (MoM);United Kingdom;GBP;1
HUF_RetailSales;20240507;06:30;Retail Sales (YoY);Hungary;HUF;1
EUR_FraExportsEUR;20240507;06:45;Exports, EUR;France;EUR;1
EUR_FraImportsEUR;20240507;06:45;Imports, EUR;France;EUR;1
EUR_FraTradeBalanceEUR;20240507;06:45;Trade Balance EUR;France;EUR;1
EUR_FraCurrentAccount;20240507;06:45;Current Account;France;EUR;1
EUR_FraNonfarmPayrolls;20240507;06:45;Nonfarm Payrolls (QoQ);France;EUR;1
CZK_IndustrialProduction;20240507;07:00;Industrial Production (YoY);Czech Republic;CZK;1
CZK_Constructionoutput;20240507;07:00;Construction output (YoY);Czech Republic;CZK;1
CZK_ForeignTradeBalance;20240507;07:00;Foreign Trade Balance (MoM);Czech Republic;CZK;1
CNY_ForeignExchangeReserves;20240507;08:00;Foreign Exchange Reserves (MoM);China;CNY;1
CZK_FXReserves;20240507;08:00;FX Reserves;Czech Republic;CZK;1
GBP_S&PGlobalCIPSConstructionPMI;20240507;08:30;S&P Global/CIPS Construction PMI;United Kingdom;GBP;1
EUR_EurRetailSales;20240507;09:00;Retail Sales (MoM);Eurozone;EUR;2
ILS_FXReserves;20240507;11:00;FX Reserves;Israel;ILS;1
CLP_TradeBalance;20240507;11:30;Trade Balance;Chile;CLP;1
MXN_ConsumerConfidence;20240507;12:00;Consumer Confidence s.a;Mexico;MXN;1
USD_RedbookIndex;20240507;12:55;Redbook Index (YoY);United States;USD;1
USD_RealClearMarketsTIPPEconomicOptimism;20240507;14:00;RealClearMarkets/TIPP Economic Optimism (MoM);United States;USD;1
CAD_IveyPurchasingManagersIndex;20240507;14:00;Ivey Purchasing Managers Index s.a;Canada;CAD;2
NZD_GDTPriceIndex;20240507;15:00;GDT Price Index;New Zealand;NZD;1
USD_CentralBankSpeech;20240507;15:30;Fed Kashkari speech;United States;USD;2
EUR_GerCentralBankSpeech;20240507;15:30;German Buba President Nagel speech;Germany;EUR;2
USD_Auction;20240507;17:00;3-Year Note Auction;United States;USD;1
BRL_TradeBalance;20240507;18:00;Trade Balance;Brazil;BRL;1
USD_ConsumerCreditChange;20240507;19:00;Consumer Credit Change;United States;USD;1
USD_APIWeeklyCrudeOilStock;20240507;20:30;API Weekly Crude Oil Stock;United States;USD;1
CZK_LiberationDay;20240507;22:00;Liberation Day ;Czech Republic;CZK;0
EUR_FraVictoryinEuropeDay;20240507;22:00;Victory in Europe Day;France;EUR;0
