NZD_RBNZInterestRateDecision;20080305;20:00;RBNZ Interest Rate Decision;New Zealand;NZD;3
USD_FedBeigeBook;20080305;19:00;Fed Beige Book;United States;USD;2
USD_ISMNonManufacturingPMI;20080305;15:00;ISM Non-Manufacturing PMI;United States;USD;1
USD_FactoryOrders;20080305;15:00;Factory Orders (MoM);United States;USD;2
USD_UnitLaborCosts;20080305;13:30;Unit Labor Costs;United States;USD;1
USD_NonfarmProductivity;20080305;13:30;Nonfarm Productivity;United States;USD;1
USD_ADPEmploymentChange;20080305;13:15;ADP Employment Change;United States;USD;2
USD_MBAMortgageApplications;20080305;12:00;MBA Mortgage Applications;United States;USD;1
GBP_BRCShopPriceIndex;20080305;10:30;BRC Shop Price Index (YoY);United Kingdom;GBP;1
EUR_EurRetailSales;20080305;10:00;Retail Sales (MoM);European Monetary Union;EUR;1
GBP_MarkitServicesPMI;20080305;09:30;Markit Services PMI;United Kingdom;GBP;1
EUR_EurMarkitServicesPMI;20080305;09:00;Markit Services PMI;European Monetary Union;EUR;1
EUR_GerMarkitServicesPMI;20080305;08:55;Markit Services PMI;Germany;EUR;1
AUD_GrossDomesticProduct;20080305;00:30;Gross Domestic Product (QoQ);Australia;AUD;1
GBP_NationwideConsumerConfidence;20080305;00:01;Nationwide Consumer Confidence;United Kingdom;GBP;2
