JPY_DomesticCorporateGoodsPriceIndex;20080410;23:50;Domestic Corporate Goods Price Index (MoM);Japan;JPY;1
USD_MonthlyBudgetStatement;20080410;18:00;Monthly Budget Statement;United States;USD;1
USD_CentralBankSpeech;20080410;17:00;Former Fed Chair Bernanke speech;United States;USD;2
USD_TradeBalance;20080410;12:30;Trade Balance;United States;USD;3
USD_JoblessClaims;20080410;12:30;Initial Jobless Claims;United States;USD;2
CAD_InternationalMerchandiseTrade;20080410;12:30;International Merchandise Trade;Canada;CAD;2
EUR_EurCentralBankSpeech;20080410;12:30;ECB President Trichet speech;European Monetary Union;EUR;2
EUR_EurECBInterestRateDecision;20080410;11:45;ECB Interest Rate Decision;European Monetary Union;EUR;3
GBP_BoEInterestRateDecision;20080410;11:00;BoE Interest Rate Decision;United Kingdom;GBP;3
ISK_CBIInterestRateDecision;20080410;09:30;CBI Interest Rate Decision;Iceland;ISK;1
GBP_TradeBalancenonEU;20080410;08:30;Trade Balance non-EU;United Kingdom;GBP;2
GBP_GoodsTradeBalance;20080410;08:30;Goods Trade Balance;United Kingdom;GBP;2
AUD_UnemploymentRate;20080410;01:30;Unemployment Rate s.a.;Australia;AUD;2
AUD_EmploymentChange;20080410;01:30;Employment Change s.a.;Australia;AUD;2
NZD_BusinessNZPMI;20080410;00:00;Business NZ PMI;New Zealand;NZD;2
