JPY_IndustrialProduction;20080729;23:50;Industrial Production (MoM);Japan;JPY;1
USD_ConsumerConfidence;20080729;14:00;Consumer Confidence;United States;USD;1
INR_RBIInterestRateDecision;20080729;14:00;RBI Interest Rate Decision (Repo Rate);India;INR;1
USD_S&PCaseShillerHomePriceIndices;20080729;13:00;S&P/Case-Shiller Home Price Indices (YoY);United States;USD;1
EUR_GerConsumerPriceIndex;20080729;12:46;Consumer Price Index (YoY);Germany;EUR;2
GBP_CBIDistributiveTradesSurveyRealized;20080729;10:00;CBI Distributive Trades Survey - Realized (MoM);United Kingdom;GBP;2
GBP_NetLendingtoIndividuals;20080729;08:30;Net Lending to Individuals (MoM);United Kingdom;GBP;1
GBP_ConsumerCredit;20080729;08:30;Consumer Credit;United Kingdom;GBP;1
GBP_MortgageApprovals;20080729;08:30;Mortgage Approvals;United Kingdom;GBP;1
GBP_M4SterlingLending;20080729;08:30;M4 Sterling Lending;United Kingdom;GBP;1
GBP_M4MoneySupply;20080729;08:30;M4 Money Supply (MoM);United Kingdom;GBP;1
CHF_UBSConsumptionIndicator;20080729;08:00;UBS Consumption Indicator;Switzerland;CHF;1
