JPY_TertiaryIndustryIndex;20081016;23:50;Tertiary Industry Index (MoM);Japan;JPY;1
USD_NAHBHousingMarketIndex;20081016;17:00;NAHB Housing Market Index;United States;USD;1
USD_PhiladelphiaFedManufacturingSurvey;20081016;14:00;Philadelphia Fed Manufacturing Survey;United States;USD;2
USD_IndustrialProduction;20081016;13:15;Industrial Production (MoM);United States;USD;2
USD_CapacityUtilization;20081016;13:15;Capacity Utilization;United States;USD;1
USD_NetLongTermTICFlows;20081016;13:00;Net Long-Term TIC Flows;United States;USD;1
USD_TotalNetTICFlows;20081016;13:00;Total Net TIC Flows;United States;USD;1
USD_JoblessClaims;20081016;12:30;Initial Jobless Claims;United States;USD;2
CAD_ManufacturingShipments;20081016;12:30;Manufacturing Shipments (MoM);Canada;CAD;1
USD_ConsumerPriceIndex;20081016;12:30;Consumer Price Index ex Food & Energy (YoY);United States;USD;3
CHF_ZEWSurveyExpectations;20081016;09:00;ZEW Survey - Expectations;Switzerland;CHF;1
CHF_RetailSales;20081016;07:15;Real Retail Sales (YoY);Switzerland;CHF;1
AUD_RBAForeignExchangeTransaction;20081016;01:30;RBA Foreign Exchange Transaction;Australia;AUD;1
