JPY_NikkeiManufacturingPMI;20081029;23:15;Nikkei Manufacturing PMI;Japan;JPY;1
NZD_BuildingPermits;20081029;21:45;Building Permits s.a. (MoM);New Zealand;NZD;1
USD_FedInterestRateDecision;20081029;18:15;Fed Interest Rate Decision;United States;USD;3
NOK_NorgesBankInterestRateDecision;20081029;15:00;Norges Bank Interest Rate Decision;Norway;NOK;0
USD_EIACrudeOilStocksChange;20081029;14:35;EIA Crude Oil Stocks Change;United States;USD;1
EUR_GerConsumerPriceIndex;20081029;13:30;Consumer Price Index (YoY);Germany;EUR;2
USD_DurableGoodsOrders;20081029;12:30;Durable Goods Orders ex Transportation;United States;USD;2
USD_MBAMortgageApplications;20081029;11:00;MBA Mortgage Applications;United States;USD;0
GBP_NetLendingtoIndividuals;20081029;09:30;Net Lending to Individuals (MoM);United Kingdom;GBP;1
GBP_ConsumerCredit;20081029;09:30;Consumer Credit;United Kingdom;GBP;1
GBP_MortgageApprovals;20081029;09:30;Mortgage Approvals;United Kingdom;GBP;1
GBP_M4SterlingLending;20081029;09:30;M4 Sterling Lending;United Kingdom;GBP;2
GBP_M4MoneySupply;20081029;09:30;M4 Money Supply (MoM);United Kingdom;GBP;1
CNY_PBoCInterestRateDecision;20081029;09:00;PBoC Interest Rate Decision;China;CNY;0
EUR_SpaInternationalTradersConference;20081029;00:00;International Traders Conference (ITC);Spain;EUR;0
