JPY_BoJMinutes;20081126;23:50;BoJ Minutes;Japan;JPY;2
NZD_TradeBalance;20081126;21:45;Trade Balance (MoM);New Zealand;NZD;2
USD_EIACrudeOilStocksChange;20081126;15:35;EIA Crude Oil Stocks Change;United States;USD;1
USD_NewHomeSalesChange;20081126;15:00;New Home Sales Change (MoM);United States;USD;2
USD_NewHomeSales;20081126;15:00;New Home Sales (MoM);United States;USD;2
USD_MichiganConsumerSentimentIndex;20081126;14:55;Michigan Consumer Sentiment Index;United States;USD;1
EUR_GerConsumerPriceIndex;20081126;14:52;Consumer Price Index (YoY);Germany;EUR;2
USD_ChicagoPurchasingManagers'Index;20081126;14:45;Chicago Purchasing Managers' Index;United States;USD;2
USD_PersonalIncome;20081126;13:30;Personal Income (MoM);United States;USD;2
USD_CorePersonalConsumptionExpenditurePriceIndex;20081126;13:30;Core Personal Consumption Expenditure - Price Index (MoM);United States;USD;3
USD_PersonalConsumptionExpendituresPriceIndex;20081126;13:30;Personal Consumption Expenditures - Price Index (MoM);United States;USD;3
USD_JoblessClaims;20081126;13:30;Initial Jobless Claims;United States;USD;1
USD_DurableGoodsOrders;20081126;13:30;Durable Goods Orders ex Transportation;United States;USD;2
USD_MBAMortgageApplications;20081126;11:00;MBA Mortgage Applications;United States;USD;1
GBP_GrossDomesticProduct;20081126;09:30;Gross Domestic Product (QoQ);United Kingdom;GBP;2
CNY_PBoCInterestRateDecision;20081126;09:30;PBoC Interest Rate Decision;China;CNY;0
GBP_IndexofServices;20081126;09:30;Index of Services (3M/3M);United Kingdom;GBP;1
AUD_ConstructionWorkDone;20081126;00:30;Construction Work Done;Australia;AUD;1
