NZD_BuildingPermits;20090113;21:45;Building Permits s.a. (MoM);New Zealand;NZD;1
USD_MonthlyBudgetStatement;20090113;19:00;Monthly Budget Statement;United States;USD;1
USD_CentralBankSpeech;20090113;19:00;Fed Kohn speech ;United States;USD;2
USD_TradeBalance;20090113;13:30;Trade Balance;United States;USD;3
CAD_InternationalMerchandiseTrade;20090113;13:30;International Merchandise Trade;Canada;CAD;2
GBP_DCLGHousePriceIndex;20090113;09:36;DCLG House Price Index (YoY);United Kingdom;GBP;1
GBP_TradeBalancenonEU;20090113;09:30;Trade Balance non-EU;United Kingdom;GBP;3
GBP_GoodsTradeBalance;20090113;09:30;Goods Trade Balance;United Kingdom;GBP;3
EUR_EurCentralBankSpeech;20090113;09:00;ECB President Trichet speech;European Monetary Union;EUR;2
EUR_GerWholesalePriceIndex;20090113;06:00;Wholesale Price Index (MoM);Germany;EUR;1
GBP_RICSHousingPriceBalance;20090113;00:01;RICS Housing Price Balance;United Kingdom;GBP;1
GBP_RetailSales;20090113;00:01;BRC Like-For-Like Retail Sales (YoY);United Kingdom;GBP;2
