JPY_DomesticCorporateGoodsPriceIndex;20090211;23:50;Domestic Corporate Goods Price Index (YoY);Japan;JPY;1
NZD_FoodPriceIndex;20090211;21:45;Food Price Index (MoM);New Zealand;NZD;1
USD_MonthlyBudgetStatement;20090211;19:00;Monthly Budget Statement;United States;USD;1
USD_TradeBalance;20090211;13:30;Trade Balance;United States;USD;3
CAD_DONOTINCLUDENewHousingPriceIndex;20090211;13:30;DO NOT INCLUDE - New Housing Price Index (YoY);Canada;CAD;1
CAD_InternationalMerchandiseTrade;20090211;13:30;International Merchandise Trade;Canada;CAD;2
CAD_NewHousingPriceIndex;20090211;12:30;New Housing Price Index (MoM);Canada;CAD;2
USD_MBAMortgageApplications;20090211;12:00;MBA Mortgage Applications;United States;USD;2
GBP_BankofEnglandQuarterlyInflationReport;20090211;10:30;Bank of England Quarterly Inflation Report;United Kingdom;GBP;2
GBP_AverageEarningsIncludingBonus;20090211;09:30;Average Earnings Including Bonus (3Mo/Yr);United Kingdom;GBP;1
GBP_ILOUnemploymentRate;20090211;09:30;ILO Unemployment Rate (3M);United Kingdom;GBP;3
GBP_ClaimantCountRate;20090211;09:30;Claimant Count Rate;United Kingdom;GBP;2
GBP_ClaimantCountChange;20090211;09:30;Claimant Count Change;United Kingdom;GBP;1
GBP_AverageEarningsExcludingBonus;20090211;09:30;Average Earnings Excluding Bonus (3Mo/Yr);United Kingdom;GBP;1
SEK_RiksbankInterestRateDecision;20090211;08:00;Riksbank Interest Rate Decision;Sweden;SEK;0
EUR_GerConsumerPriceIndex;20090211;07:00;Consumer Price Index (YoY);Germany;EUR;2
AUD_InvestmentLendingforHomes;20090211;00:30;Investment Lending for Homes;Australia;AUD;0
AUD_HomeLoans;20090211;00:30;Home Loans;Australia;AUD;1
