JPY_GrossDomesticProduct;20090910;23:50;Gross Domestic Product (QoQ);Japan;JPY;2
NZD_FoodPriceIndex;20090910;22:45;Food Price Index (MoM);New Zealand;NZD;1
USD_CentralBankSpeech;20090910;17:00;Treasury Geithner speech;United States;USD;1
CAD_BoCInterestRateDecision;20090910;13:00;BoC Interest Rate Decision;Canada;CAD;3
USD_TradeBalance;20090910;12:30;Trade Balance;United States;USD;2
USD_JoblessClaims;20090910;12:30;Initial Jobless Claims;United States;USD;2
CAD_InternationalMerchandiseTrade;20090910;12:30;International Merchandise Trade;Canada;CAD;2
GBP_BoEInterestRateDecision;20090910;11:00;BoE Interest Rate Decision;United Kingdom;GBP;3
GBP_HalifaxHousePrices;20090910;08:00;Halifax House Prices (3m/YoY);United Kingdom;GBP;1
EUR_EurECBMonthlyReport;20090910;08:00;ECB Monthly Report;European Monetary Union;EUR;1
AUD_UnemploymentRate;20090910;01:30;Unemployment Rate s.a.;Australia;AUD;2
AUD_EmploymentChange;20090910;01:30;Employment Change s.a.;Australia;AUD;2
AUD_ConsumerInflationExpectations;20090910;01:00;Consumer Inflation Expectations;Australia;AUD;1
