TRY_CBRTInterestRateDecision;20090917;20:00;CBRT Interest Rate Decision;Turkey;TRY;1
USD_PhiladelphiaFedManufacturingSurvey;20090917;14:00;Philadelphia Fed Manufacturing Survey;United States;USD;2
USD_HousingStarts;20090917;12:30;Housing Starts (MoM);United States;USD;1
USD_BuildingPermits;20090917;12:30;Building Permits (MoM);United States;USD;1
USD_JoblessClaims;20090917;12:30;Initial Jobless Claims;United States;USD;2
CAD_LeadingIndicators;20090917;12:30;Leading Indicators (MoM);Canada;CAD;2
CHF_SNBInterestRateDecision;20090917;12:00;SNB Interest Rate Decision;Switzerland;CHF;3
CAD_ConsumerPriceIndex;20090917;11:00;Consumer Price Index (MoM);Canada;CAD;2
GBP_CBIIndustrialTrendsSurveyOrders;20090917;10:00;CBI Industrial Trends Survey - Orders (MoM);United Kingdom;GBP;1
EUR_EurTradeBalance;20090917;09:00;Trade Balance s.a.;European Monetary Union;EUR;2
EUR_EurConstructionOutput;20090917;09:00;Construction Output w.d.a (YoY);European Monetary Union;EUR;1
GBP_RetailSales;20090917;08:30;Retail Sales (MoM);United Kingdom;GBP;2
AUD_RBAAnnualReport;20090917;05:10;RBA Annual Report;Australia;AUD;1
JPY_BoJInterestRateDecision;20090917;04:00;BoJ Interest Rate Decision;Japan;JPY;3
AUD_RBAForeignExchangeTransaction;20090917;01:30;RBA Foreign Exchange Transaction;Australia;AUD;1
