NZD_TradeBalance;20100106;21:45;Trade Balance (MoM);New Zealand;NZD;2
USD_FOMCMinutes;20100106;19:00;FOMC Minutes;United States;USD;3
USD_EIACrudeOilStocksChange;20100106;15:30;EIA Crude Oil Stocks Change;United States;USD;0
USD_ISMNonManufacturingPMI;20100106;15:00;ISM Non-Manufacturing PMI;United States;USD;2
USD_ADPEmploymentChange;20100106;13:15;ADP Employment Change;United States;USD;2
USD_MBAMortgageApplications;20100106;12:05;MBA Mortgage Applications;United States;USD;1
EUR_EurIndustrialNewOrders;20100106;10:00;Industrial New Orders (YoY);European Monetary Union;EUR;1
EUR_EurProducerPriceIndex;20100106;10:00;Producer Price Index (MoM);European Monetary Union;EUR;1
GBP_BRCShopPriceIndex;20100106;09:30;BRC Shop Price Index (YoY);United Kingdom;GBP;1
GBP_MarkitServicesPMI;20100106;09:30;Markit Services PMI;United Kingdom;GBP;1
EUR_EurMarkitServicesPMI;20100106;09:00;Markit Services PMI;European Monetary Union;EUR;1
EUR_GerMarkitServicesPMI;20100106;08:55;Markit Services PMI;Germany;EUR;2
AUD_BuildingPermits;20100106;00:30;Building Permits (MoM);Australia;AUD;0
