CAD_IveyPurchasingManagersIndex;20100107;15:00;Ivey Purchasing Managers Index;Canada;CAD;2
USD_JoblessClaims;20100107;13:30;Initial Jobless Claims;United States;USD;2
GBP_BoEInterestRateDecision;20100107;12:00;BoE Interest Rate Decision;United Kingdom;GBP;3
EUR_GerFactoryOrders;20100107;11:00;Factory Orders s.a. (MoM);Germany;EUR;2
EUR_EurConsumerConfidence;20100107;10:00;Consumer Confidence;European Monetary Union;EUR;1
EUR_EurEconomicSentimentIndicator;20100107;10:00;Economic Sentiment Indicator;European Monetary Union;EUR;1
EUR_EurIndustrialConfidence;20100107;10:00;Industrial Confidence;European Monetary Union;EUR;1
EUR_EurRetailSales;20100107;10:00;Retail Sales (MoM);European Monetary Union;EUR;2
GBP_HalifaxHousePrices;20100107;09:00;Halifax House Prices (3m/YoY);United Kingdom;GBP;1
CHF_ConsumerPriceIndex;20100107;08:15;Consumer Price Index (YoY);Switzerland;CHF;2
EUR_GerRetailSales;20100107;07:00;Retail Sales (YoY);Germany;EUR;1
AUD_RetailSales;20100107;00:30;Retail Sales s.a. (MoM);Australia;AUD;2
AUD_TradeBalance;20100107;00:30;Trade Balance;Australia;AUD;2
