NZD_RetailSales;20100120;21:45;Retail Sales ex Autos (QoQ);New Zealand;NZD;2
USD_HousingStarts;20100120;13:30;Housing Starts (MoM);United States;USD;2
USD_BuildingPermits;20100120;13:30;Building Permits (MoM);United States;USD;2
USD_ProducerPriceIndex;20100120;13:30;Producer Price Index (MoM);United States;USD;3
CAD_ManufacturingShipments;20100120;13:30;Manufacturing Shipments (MoM);Canada;CAD;1
USD_MBAMortgageApplications;20100120;12:00;MBA Mortgage Applications;United States;USD;1
CAD_ConsumerPriceIndex;20100120;12:00;Consumer Price Index (MoM);Canada;CAD;2
GBP_BankofEnglandMinutes;20100120;09:30;Bank of England Minutes;United Kingdom;GBP;3
GBP_AverageEarningsExcludingBonus;20100120;09:30;Average Earnings Excluding Bonus (3Mo/Yr);United Kingdom;GBP;2
GBP_AverageEarningsIncludingBonus;20100120;09:30;Average Earnings Including Bonus (3Mo/Yr);United Kingdom;GBP;2
GBP_ClaimantCountRate;20100120;09:30;Claimant Count Rate;United Kingdom;GBP;2
GBP_ClaimantCountChange;20100120;09:30;Claimant Count Change;United Kingdom;GBP;2
GBP_ILOUnemploymentRate;20100120;09:30;ILO Unemployment Rate (3M);United Kingdom;GBP;2
EUR_GerProducerPriceIndex;20100120;07:00;Producer Price Index (YoY);Germany;EUR;2
JPY_MachineToolOrders;20100120;06:00;Machine Tool Orders (YoY);Japan;JPY;1
