NZD_RetailSales;20100311;21:45;Retail Sales (QoQ);New Zealand;NZD;2
USD_TradeBalance;20100311;13:30;Trade Balance;United States;USD;3
USD_JoblessClaims;20100311;13:30;Continuing Jobless Claims;United States;USD;1
CAD_CapacityUtilization;20100311;13:30;Capacity Utilization;Canada;CAD;1
CAD_InternationalMerchandiseTrade;20100311;13:30;International Merchandise Trade;Canada;CAD;3
CAD_NewHousingPriceIndex;20100311;13:30;New Housing Price Index (MoM);Canada;CAD;1
CHF_SNBInterestRateDecision;20100311;13:00;SNB Interest Rate Decision;Switzerland;CHF;3
EUR_EurECBMonthlyReport;20100311;09:00;ECB Monthly Report;European Monetary Union;EUR;2
AUD_EmploymentChange;20100311;00:30;Employment Change s.a.;Australia;AUD;2
AUD_UnemploymentRate;20100311;00:30;Unemployment Rate s.a.;Australia;AUD;3
AUD_ConsumerInflationExpectations;20100311;00:00;Consumer Inflation Expectations;Australia;AUD;1
