JPY_CapitalSpending;20100602;23:50;Capital Spending;Japan;JPY;1
AUD_AiGPerformanceofServicesIndex;20100602;23:30;AiG Performance of Services Index;Australia;AUD;1
USD_TotalVehicleSales;20100602;21:00;Total Vehicle Sales;United States;USD;1
USD_PendingHomeSales;20100602;14:00;Pending Home Sales (MoM);United States;USD;2
USD_MBAMortgageApplications;20100602;11:00;MBA Mortgage Applications;United States;USD;1
EUR_EurProducerPriceIndex;20100602;09:00;Producer Price Index (MoM);European Monetary Union;EUR;1
GBP_NetLendingtoIndividuals;20100602;08:30;Net Lending to Individuals (MoM);United Kingdom;GBP;1
GBP_MarkitConstructionPMI;20100602;08:30;Markit Construction PMI;United Kingdom;GBP;1
GBP_ConsumerCredit;20100602;08:30;Consumer Credit;United Kingdom;GBP;1
GBP_MortgageApprovals;20100602;08:30;Mortgage Approvals;United Kingdom;GBP;2
GBP_M4MoneySupply;20100602;08:30;M4 Money Supply (YoY);United Kingdom;GBP;1
CHF_RetailSales;20100602;07:15;Real Retail Sales (YoY);Switzerland;CHF;2
NZD_ANZCommodityPrice;20100602;03:00;ANZ Commodity Price;New Zealand;NZD;1
AUD_GrossDomesticProduct;20100602;01:30;Gross Domestic Product (QoQ);Australia;AUD;3
