JPY_RetailTrade;20100728;23:50;Retail Trade (YoY);Japan;JPY;2
NZD_TradeBalance;20100728;22:45;Trade Balance (MoM);New Zealand;NZD;2
NZD_RBNZInterestRateDecision;20100728;21:00;RBNZ Interest Rate Decision;New Zealand;NZD;3
USD_FedBeigeBook;20100728;18:00;Fed Beige Book;United States;USD;2
USD_EIACrudeOilStocksChange;20100728;14:30;EIA Crude Oil Stocks Change;United States;USD;1
USD_DurableGoodsOrders;20100728;12:30;Durable Goods Orders ex Transportation;United States;USD;2
EUR_GerConsumerPriceIndex;20100728;12:00;Consumer Price Index (MoM);Germany;EUR;2
USD_MBAMortgageApplications;20100728;11:00;MBA Mortgage Applications;United States;USD;1
GBP_CentralBankSpeech;20100728;08:45;BoE Governor King speech;United Kingdom;GBP;2
NZD_ANZBusinessConfidence;20100728;03:00;ANZ Business Confidence;New Zealand;NZD;2
AUD_ConsumerPriceIndex;20100728;01:30;Consumer Price Index (QoQ);Australia;AUD;2
