NZD_UnemploymentRate;20100804;22:45;Unemployment Rate;New Zealand;NZD;2
USD_EIACrudeOilStocksChange;20100804;14:30;EIA Crude Oil Stocks Change;United States;USD;1
USD_ISMNonManufacturingPMI;20100804;14:00;ISM Non-Manufacturing PMI;United States;USD;1
USD_ADPEmploymentChange;20100804;12:15;ADP Employment Change;United States;USD;2
USD_MBAMortgageApplications;20100804;11:00;MBA Mortgage Applications;United States;USD;1
EUR_EurRetailSales;20100804;09:00;Retail Sales (YoY);European Monetary Union;EUR;2
GBP_MarkitServicesPMI;20100804;08:30;Markit Services PMI;United Kingdom;GBP;1
EUR_GerMarkitServicesPMI;20100804;08:00;Markit Services PMI;Germany;EUR;1
EUR_EurMarkitServicesPMI;20100804;08:00;Markit Services PMI;European Monetary Union;EUR;1
GBP_HalifaxHousePrices;20100804;05:55;Halifax House Prices (3m/YoY);United Kingdom;GBP;1
AUD_HousePriceIndex;20100804;01:30;House Price Index (QoQ);Australia;AUD;2
AUD_TradeBalance;20100804;01:30;Trade Balance;Australia;AUD;2
