JPY_MonetaryBase;20110104;23:50;Monetary Base (YoY);Japan;JPY;1
USD_TotalVehicleSales;20110104;22:00;Total Vehicle Sales;United States;USD;1
USD_FOMCMinutes;20110104;19:00;FOMC Minutes;United States;USD;2
DKK_CurrencyReserves;20110104;16:00;Currency Reserves;Denmark;DKK;1
USD_FactoryOrders;20110104;15:00;Factory Orders (MoM);United States;USD;2
USD_DurableGoodsOrders;20110104;15:00;Durable Goods Orders ex Transportation;United States;USD;1
EUR_EurConsumerPriceIndex;20110104;10:00;Consumer Price Index (YoY);European Monetary Union;EUR;2
GBP_MarkitManufacturingPMI;20110104;09:30;Markit Manufacturing PMI;United Kingdom;GBP;2
GBP_MortgageApprovals;20110104;09:30;Mortgage Approvals;United Kingdom;GBP;2
GBP_M4MoneySupply;20110104;09:30;M4 Money Supply (YoY);United Kingdom;GBP;2
EUR_GerUnemploymentRate;20110104;08:55;Unemployment Rate s.a.;Germany;EUR;2
EUR_GerUnemploymentChange;20110104;08:55;Unemployment Change;Germany;EUR;2
AUD_RBACommodityIndexSDR;20110104;05:30;RBA Commodity Index SDR (YoY);Australia;AUD;1
