AUD_ConsumerInflationExpectations;20110119;23:30;Consumer Inflation Expectations;Australia;AUD;1
NZD_ConsumerPriceIndex;20110119;21:45;Consumer Price Index (QoQ);New Zealand;NZD;2
CAD_BankofCanadaMonetaryPolicyReport;20110119;15:30;Bank of Canada Monetary Policy Report;Canada;CAD;3
USD_HousingStarts;20110119;13:30;Housing Starts (MoM);United States;USD;2
USD_BuildingPermits;20110119;13:30;Building Permits (MoM);United States;USD;1
CAD_ManufacturingShipments;20110119;13:30;Manufacturing Shipments (MoM);Canada;CAD;2
PLN_CorporateSectorWages;20110119;13:00;Corporate Sector Wages;Poland;PLN;1
USD_MBAMortgageApplications;20110119;12:00;MBA Mortgage Applications;United States;USD;1
PLN_NBPBaserate;20110119;11:55;NBP Base rate;Poland;PLN;3
EUR_EurConstructionOutput;20110119;10:00;Construction Output  s.a (MoM);European Monetary Union;EUR;2
GBP_AverageEarningsExcludingBonus;20110119;09:30;Average Earnings Excluding Bonus (3Mo/Yr);United Kingdom;GBP;1
GBP_AverageEarningsIncludingBonus;20110119;09:30;Average Earnings Including Bonus (3Mo/Yr);United Kingdom;GBP;2
GBP_ClaimantCountRate;20110119;09:30;Claimant Count Rate;United Kingdom;GBP;2
GBP_ClaimantCountChange;20110119;09:30;Claimant Count Change;United Kingdom;GBP;2
GBP_ILOUnemploymentRate;20110119;09:30;ILO Unemployment Rate (3M);United Kingdom;GBP;2
ZAR_RetailSales;20110119;09:30;Retail Sales (YoY);South Africa;ZAR;2
EUR_EurCurrentAccount;20110119;09:00;Current Account s.a;European Monetary Union;EUR;1
ZAR_ConsumerPriceIndex;20110119;08:00;Consumer Price Index (MoM);South Africa;ZAR;2
