RUB_GrossDomesticProduct;20110516;14:00;Gross Domestic Product Quarterly (YoY);Russia;RUB;1
USD_NAHBHousingMarketIndex;20110516;14:00;NAHB Housing Market Index;United States;USD;1
USD_NetLongTermTICFlows;20110516;13:00;Net Long-Term TIC Flows;United States;USD;2
USD_TotalNetTICFlows;20110516;13:00;Total Net TIC Flows;United States;USD;2
USD_CentralBankSpeech;20110516;13:00;Former Fed Chair Bernanke speech;United States;USD;2
USD_NYEmpireStateManufacturingIndex;20110516;12:30;NY Empire State Manufacturing Index;United States;USD;2
CAD_ManufacturingShipments;20110516;12:30;Manufacturing Shipments (MoM);Canada;CAD;1
HUF_MNBInterestRateDecision;20110516;12:04;MNB Interest Rate Decision;Hungary;HUF;1
PLN_CurrentAccount;20110516;12:00;Current Account;Poland;PLN;1
EUR_EurTradeBalance;20110516;09:00;Trade Balance n.s.a.;European Monetary Union;EUR;2
EUR_EurConsumerPriceIndex;20110516;09:00;Consumer Price Index (YoY);European Monetary Union;EUR;2
EUR_ItaConsumerPriceIndex;20110516;08:00;Consumer Price Index (EU Norm) (MoM);Italy;EUR;1
EUR_ItaGlobalTradeBalance;20110516;08:00;Global Trade Balance;Italy;EUR;1
EUR_ItaTradeBalanceEU;20110516;08:00;Trade Balance EU;Italy;EUR;1
NOK_TradeBalance;20110516;08:00;Trade Balance;Norway;NOK;1
TRY_BudgetBalance;20110516;08:00;Budget Balance;Turkey;TRY;1
CZK_CurrentAccount;20110516;08:00;Current Account (MoM);Czech Republic;CZK;1
CZK_ExportPrices;20110516;07:00;Export Prices (YoY);Czech Republic;CZK;1
TRY_ConsumerConfidence;20110516;07:00;Consumer Confidence;Turkey;TRY;1
CZK_ProducerPriceIndex;20110516;07:00;Producer Price Index (YoY);Czech Republic;CZK;1
CZK_ImportPrices;20110516;07:00;Import Prices (YoY);Czech Republic;CZK;1
EUR_SloEUNormInflation;20110516;07:00;EU Norm Inflation (MoM);Slovakia;EUR;1
INR_WPIInflation;20110516;06:30;WPI Inflation;India;INR;1
JPY_ConsumerConfidenceIndex;20110516;05:00;Consumer Confidence Index;Japan;JPY;2
AUD_InvestmentLendingforHomes;20110516;01:30;Investment Lending for Homes;Australia;AUD;1
AUD_HomeLoans;20110516;01:30;Home Loans;Australia;AUD;2
AUD_NewMotorVehicleSales;20110516;01:30;New Motor Vehicle Sales (MoM);Australia;AUD;1
