NZD_VisitorArrivals;20110818;22:45;Visitor Arrivals (YoY);New Zealand;NZD;1
CAD_BoCReview;20110818;14:30;BoC Review;Canada;CAD;1
CAD_BankofCanadaMonetaryPolicyReport;20110818;14:30;Bank of Canada Monetary Policy Report;Canada;CAD;2
USD_ExistingHomeSalesChange;20110818;14:00;Existing Home Sales Change (MoM);United States;USD;2
USD_ExistingHomeSales;20110818;14:00;Existing Home Sales (MoM);United States;USD;2
USD_PhiladelphiaFedManufacturingSurvey;20110818;14:00;Philadelphia Fed Manufacturing Survey;United States;USD;2
USD_JoblessClaims;20110818;12:30;Continuing Jobless Claims;United States;USD;1
USD_ConsumerPriceIndex;20110818;12:30;Consumer Price Index ex Food & Energy (MoM);United States;USD;2
CAD_WholesaleSales;20110818;12:30;Wholesale Sales (MoM);Canada;CAD;1
CAD_LeadingIndicators;20110818;12:30;Leading Indicators (MoM);Canada;CAD;2
PLN_IndustrialOutput;20110818;12:00;Industrial Output (YoY);Poland;PLN;1
PLN_ProducerPriceIndex;20110818;12:00;Producer Price Index (YoY);Poland;PLN;1
EUR_EurConstructionOutput;20110818;09:00;Construction Output  s.a (MoM);European Monetary Union;EUR;1
GBP_RetailSales;20110818;08:30;Retail Sales (YoY);United Kingdom;GBP;2
EUR_NetUnemploymentRate;20110818;07:30;Unemployment Rate s.a (3M);Netherlands, The;EUR;1
EUR_NetConsumerConfidenceAdj;20110818;07:30;Consumer Confidence Adj;Netherlands, The;EUR;1
SEK_CapacityUtilization;20110818;07:30;Capacity Utilization;Sweden;SEK;1
EUR_GreCurrentAccount;20110818;06:00;Current Account (YoY);Greece;EUR;1
JPY_CoincidentIndex;20110818;05:00;Coincident Index;Japan;JPY;1
JPY_LeadingEconomicIndex;20110818;05:00;Leading Economic Index;Japan;JPY;1
AUD_RBAForeignExchangeTransaction;20110818;01:30;RBA Foreign Exchange Transaction;Australia;AUD;1
