NZD_ConsumerPriceIndex;20130416;22:45;Consumer Price Index (QoQ);New Zealand;NZD;2
KRW_ProducerPriceIndex;20130416;21:00;Producer Price Index Growth (YoY);South Korea;KRW;1
USD_CentralBankSpeech;20130416;19:30;Fed Minneapolis Kocherlakota speech;United States;USD;1
CHF_CentralBankSpeech;20130416;16:30;SNB Danthine speech;Switzerland;CHF;2
USD_Auction;20130416;16:00;4-Week Bill Auction;United States;USD;1
USD_IndustrialProduction;20130416;13:15;Industrial Production (MoM);United States;USD;2
USD_CapacityUtilization;20130416;13:15;Capacity Utilization;United States;USD;1
EUR_EurCentralBankSpeech;20130416;13:00;ECB President Draghi speech;European Monetary Union;EUR;3
USD_RedbookIndex;20130416;12:55;Redbook Index (MoM);United States;USD;1
USD_HousingStarts;20130416;12:30;Housing Starts (MoM);United States;USD;2
USD_BuildingPermits;20130416;12:30;Building Permits (MoM);United States;USD;2
CAD_ManufacturingShipments;20130416;12:30;Manufacturing Shipments (MoM);Canada;CAD;1
CAD_CanadianPortfolioInvestmentinForeignSecurities;20130416;12:30;Canadian Portfolio Investment in Foreign Securities;Canada;CAD;1
CAD_ForeignPortfolioInvestmentinCanadianSecurities;20130416;12:30;Foreign Portfolio Investment in Canadian Securities;Canada;CAD;1
USD_ConsumerPriceIndex;20130416;12:30;Consumer Price Index ex Food & Energy (MoM);United States;USD;2
PLN_NetInflation;20130416;12:00;Net Inflation;Poland;PLN;1
TRY_CBRTInterestRateDecision;20130416;11:00;CBRT Interest Rate Decision;Turkey;TRY;1
EUR_EurConsumerPriceIndex;20130416;09:00;Consumer Price Index (YoY);European Monetary Union;EUR;2
EUR_GerZEWSurveyEconomicSentiment;20130416;09:00;ZEW Survey - Economic Sentiment;Germany;EUR;3
EUR_GerZEWSurveyCurrentSituation;20130416;09:00;ZEW Survey - Current Situation;Germany;EUR;2
EUR_EurZEWSurveyEconomicSentiment;20130416;09:00;ZEW Survey - Economic Sentiment;European Monetary Union;EUR;2
EUR_SpaAuction;20130416;08:52;6-Month Letras Auction;Spain;EUR;1
GBP_DCLGHousePriceIndex;20130416;08:30;DCLG House Price Index (YoY);United Kingdom;GBP;1
GBP_RetailPriceIndex;20130416;08:30;Retail Price Index (MoM);United Kingdom;GBP;1
GBP_ProducerPriceIndex;20130416;08:30;Producer Price Index - Output (YoY) n.s.a;United Kingdom;GBP;2
GBP_PPICoreOutput;20130416;08:30;PPI Core Output (YoY) n.s.a ;United Kingdom;GBP;2
GBP_ConsumerPriceIndex;20130416;08:30;Core Consumer Price Index (YoY);United Kingdom;GBP;3
EUR_ItaTradeBalanceEU;20130416;08:00;Trade Balance EU;Italy;EUR;1
EUR_ItaGlobalTradeBalance;20130416;08:00;Global Trade Balance;Italy;EUR;1
EUR_AusHICP;20130416;08:00;HICP (YoY);Austria;EUR;1
CHF_ProducerandImportPrices;20130416;07:15;Producer and Import Prices (MoM);Switzerland;CHF;1
EUR_SloEUNormInflation;20130416;07:00;EU Norm Inflation (MoM);Slovakia;EUR;1
AUD_CentralBankSpeech;20130416;02:55;RBA Debelle speech;Australia;AUD;2
AUD_NewMotorVehicleSales;20130416;01:30;New Motor Vehicle Sales (MoM);Australia;AUD;1
AUD_RBAMeetingMinutes;20130416;01:30;RBA Meeting Minutes;Australia;AUD;3
