COP_ConsumerPriceIndex;20130906;18:00;Consumer Price Index (YoY);Colombia;COP;1
USD_CentralBankSpeech;20130906;17:30;Fed George speech;United States;USD;1
TRY_TreasuryCashBalance;20130906;14:30;Treasury Cash Balance;Turkey;TRY;1
GBP_NIESRGDPEstimate;20130906;14:00;NIESR GDP Estimate (3M);United Kingdom;GBP;3
MXN_CentralBankInterestRate;20130906;14:00;Central Bank Interest Rate;Mexico;MXN;1
CAD_IveyPurchasingManagersIndex;20130906;14:00;Ivey Purchasing Managers Index s.a;Canada;CAD;2
INR_FXReservesUSD;20130906;13:30;FX Reserves, USD;India;INR;1
CAD_UnemploymentRate;20130906;12:30;Unemployment Rate;Canada;CAD;3
CAD_LaborProductivity;20130906;12:30;Labor Productivity (QoQ);Canada;CAD;1
USD_NonfarmPayrolls;20130906;12:30;Nonfarm Payrolls;United States;USD;3
USD_AverageHourlyEarnings;20130906;12:30;Average Hourly Earnings (MoM);United States;USD;2
USD_UnemploymentRate;20130906;12:30;Unemployment Rate;United States;USD;3
USD_AverageWeeklyHours;20130906;12:30;Average Weekly Hours;United States;USD;1
CAD_ParticipationRate;20130906;12:30;Participation Rate;Canada;CAD;1
CAD_NetChangeinEmployment;20130906;12:30;Net Change in Employment;Canada;CAD;3
BRL_IPCAInflation;20130906;12:00;IPCA Inflation;Brazil;BRL;1
PLN_CentralBankFXReserves;20130906;12:00;Central Bank FX Reserves;Poland;PLN;1
CLP_ConsumerPriceIndex;20130906;12:00;Consumer Price Index (Inflation) (MoM);Chile;CLP;1
INR_BankLoanGrowth;20130906;11:30;Bank Loan Growth;India;INR;1
EUR_PorGlobalTradeBalance;20130906;10:39;Global Trade Balance;Portugal;EUR;1
EUR_PorGrossDomesticProduct;20130906;10:07;Gross Domestic Product (QoQ);Portugal;EUR;1
EUR_GerIndustrialProduction;20130906;10:00;Industrial Production s.a. (MoM);Germany;EUR;1
ISK_GrossDomesticProduct;20130906;09:00;Gross Domestic Product (QoQ);Iceland;ISK;1
EUR_GreGrossDomesticProduct;20130906;09:00;Gross Domestic Product s.a (YoY);Greece;EUR;1
ZAR_Gross$Gold&ForexReserve;20130906;09:00;Gross $Gold & Forex Reserve ;South Africa;ZAR;1
GBP_ConsumerInflationExpectations;20130906;08:30;Consumer Inflation Expectations;United Kingdom;GBP;3
GBP_ManufacturingProduction;20130906;08:30;Manufacturing Production (MoM);United Kingdom;GBP;1
GBP_IndustrialProduction;20130906;08:30;Industrial Production (YoY);United Kingdom;GBP;2
GBP_GoodsTradeBalance;20130906;08:30;Goods Trade Balance;United Kingdom;GBP;2
GBP_TotalTradeBalance;20130906;08:30;Total Trade Balance;United Kingdom;GBP;1
GBP_TradeBalancenonEU;20130906;08:30;Trade Balance non-EU;United Kingdom;GBP;2
EUR_ItaTradeBalancenonEU;20130906;08:00;Trade Balance non-EU;Italy;EUR;1
NOK_ManufacturingOutput;20130906;08:00;Manufacturing Output;Norway;NOK;1
EUR_AusTradeBalance;20130906;08:00;Trade Balance;Austria;EUR;1
CZK_FXReserves;20130906;08:00;FX Reserves;Czech Republic;CZK;1
EUR_AusWholesalePrices;20130906;07:30;Wholesale Prices n.s.a (MoM);Austria;EUR;1
CHF_IndustrialProduction;20130906;07:15;Industrial Production (QoQ);Switzerland;CHF;2
CHF_ConsumerPriceIndex;20130906;07:15;Consumer Price Index (YoY);Switzerland;CHF;2
EUR_SpaIndustrialOutputCalAdjusted;20130906;07:00;Industrial Output Cal Adjusted (YoY);Spain;EUR;1
CZK_IndustrialProduction;20130906;07:00;Industrial Production (YoY);Czech Republic;CZK;1
CHF_ForeignCurrencyReserves;20130906;07:00;Foreign Currency Reserves;Switzerland;CHF;1
DKK_IndustrialProduction;20130906;07:00;Industrial Production (MoM);Denmark;DKK;1
GBP_HalifaxHousePrices;20130906;07:00;Halifax House Prices (3m/YoY);United Kingdom;GBP;1
CZK_Constructionoutput;20130906;07:00;Construction output (YoY);Czech Republic;CZK;1
EUR_FraImportsEUR;20130906;06:45;Imports, EUR;France;EUR;1
EUR_FraTradeBalanceEUR;20130906;06:45;Trade Balance EUR;France;EUR;1
EUR_FraExportsEUR;20130906;06:45;Exports, EUR;France;EUR;1
EUR_FraConsumerConfidence;20130906;06:45;Consumer Confidence;France;EUR;1
EUR_FraBudget;20130906;06:45;Budget;France;EUR;1
ISK_TradeBalance;20130906;06:10;Trade Balance;Iceland;ISK;1
EUR_GerCurrentAccount;20130906;06:00;Current Account n.s.a.;Germany;EUR;1
EUR_GerExports;20130906;06:00;Exports (MoM);Germany;EUR;1
EUR_GerTradeBalance;20130906;06:00;Trade Balance s.a.;Germany;EUR;1
EUR_GerImports;20130906;06:00;Imports (MoM);Germany;EUR;1
ZAR_Net$Gold&ForexReserve;20130906;06:00;Net $Gold & Forex Reserve;South Africa;ZAR;1
JPY_CoincidentIndex;20130906;05:00;Coincident Index;Japan;JPY;2
JPY_LeadingEconomicIndex;20130906;05:00;Leading Economic Index;Japan;JPY;2
JPY_BoJMonthlyEconomicSurvey;20130906;05:00;BoJ Monthly Economic Survey;Japan;JPY;2
EUR_EurG20Meeting;20130906;00:00;G20 Meeting;European Monetary Union;EUR;2
