AUD_HIANewHomeSales;20131029;23:58;HIA New Home Sales (MoM);Australia;AUD;2
JPY_IndustrialProduction;20131029;23:50;Industrial Production (MoM);Japan;JPY;1
KRW_IndustrialOutputGrowth;20131029;23:00;Industrial Output Growth;South Korea;KRW;1
KRW_IndustrialOutput;20131029;23:00;Industrial Output (YoY);South Korea;KRW;1
CAD_CentralBankSpeech;20131029;17:40;BoC Cote speech;Canada;CAD;1
USD_Auction;20131029;17:00;5-Year Note Auction;United States;USD;1
USD_ConsumerConfidence;20131029;14:00;Consumer Confidence;United States;USD;3
USD_BusinessInventories;20131029;14:00;Business Inventories;United States;USD;2
EUR_SloCurrentAccount;20131029;13:30;Current Account Balance EUR;Slovakia;EUR;1
USD_S&PCaseShillerHomePriceIndices;20131029;13:00;S&P/Case-Shiller Home Price Indices (YoY);United States;USD;1
HUF_MNBInterestRateDecision;20131029;13:00;MNB Interest Rate Decision;Hungary;HUF;1
USD_RedbookIndex;20131029;12:55;Redbook Index (MoM);United States;USD;1
USD_RetailSales;20131029;12:30;Retail Sales ex Autos (MoM);United States;USD;2
USD_ProducerPriceIndex;20131029;12:30;Producer Price Index (MoM);United States;USD;1
CAD_RawMaterialPriceIndex;20131029;12:30;Raw Material Price Index;Canada;CAD;1
CAD_IndustrialProductPrice;20131029;12:30;Industrial Product Price (MoM);Canada;CAD;1
CLP_IndustrialProduction;20131029;12:00;Industrial Production (YoY);Chile;CLP;1
EUR_IreRetailSales;20131029;11:00;Retail Sales (MoM);Ireland;EUR;1
EUR_GreProducerPriceIndex;20131029;10:00;Producer Price Index (YoY);Greece;EUR;1
GBP_NetLendingtoIndividuals;20131029;09:30;Net Lending to Individuals (MoM);United Kingdom;GBP;2
GBP_ConsumerCredit;20131029;09:30;Consumer Credit;United Kingdom;GBP;2
GBP_MortgageApprovals;20131029;09:30;Mortgage Approvals;United Kingdom;GBP;2
GBP_M4MoneySupply;20131029;09:30;M4 Money Supply (YoY);United Kingdom;GBP;1
ZAR_UnemploymentRate;20131029;09:30;Unemployment Rate (%);South Africa;ZAR;1
ZAR_UnemploymentTotal;20131029;09:30;Unemployment Total ;South Africa;ZAR;1
HUF_UnemploymentRate;20131029;08:00;Unemployment Rate (3M);Hungary;HUF;1
EUR_SpaRetailSales;20131029;08:00;Retail Sales (YoY);Spain;EUR;1
EUR_FraConsumerConfidence;20131029;07:50;Consumer Confidence;France;EUR;1
ZAR_M3MoneySupply;20131029;06:00;M3 Money Supply (YoY);South Africa;ZAR;1
ZAR_PrivateSectorCredit;20131029;06:00;Private Sector Credit;South Africa;ZAR;1
INR_CashReserveRatio;20131029;05:30;Cash Reserve Ratio;India;INR;1
INR_ReverseRepoRate;20131029;05:30;Reverse Repo Rate;India;INR;1
INR_RBIInterestRateDecision;20131029;05:30;RBI Interest Rate Decision (Repo Rate);India;INR;1
TRY_RepublicDay;20131029;00:00;Republic Day ;Turkey;TRY;0
