JPY_BoJMonetaryPolicyMeetingMinutes;20140220;23:50;BoJ Monetary Policy Meeting Minutes;Japan;JPY;3
USD_EIACrudeOilStocksChange;20140220;16:00;EIA Crude Oil Stocks Change;United States;USD;1
USD_EIANaturalGasStorageChange;20140220;15:30;EIA Natural Gas Storage Change;United States;USD;1
EUR_EurConsumerConfidence;20140220;15:00;Consumer Confidence;European Monetary Union;EUR;2
USD_PhiladelphiaFedManufacturingSurvey;20140220;15:00;Philadelphia Fed Manufacturing Survey;United States;USD;2
EUR_BelConsumerConfidenceIndex;20140220;14:00;Consumer Confidence Index;Belgium;EUR;1
USD_MarkitManufacturingPMI;20140220;13:58;Markit Manufacturing PMI;United States;USD;2
USD_JoblessClaims;20140220;13:30;Initial Jobless Claims;United States;USD;2
USD_ConsumerPriceIndex;20140220;13:30;Consumer Price Index ex Food & Energy (MoM);United States;USD;2
BRL_UnemploymentRate;20140220;12:00;Unemployment Rate;Brazil;BRL;1
EUR_PorCurrentAccount;20140220;12:00;Current Account Balance;Portugal;EUR;1
EUR_IreHICP;20140220;11:00;HICP (YoY);Ireland;EUR;1
EUR_IreConsumerPriceIndex;20140220;11:00;Consumer Price Index (YoY);Ireland;EUR;1
EUR_SloUnemploymentRate;20140220;11:00;Unemployment Rate;Slovakia;EUR;1
RUB_CentralBankReserves;20140220;11:00;Central Bank Reserves $;Russia;RUB;1
GBP_CBIIndustrialTrendsSurveyOrders;20140220;11:00;CBI Industrial Trends Survey - Orders (MoM);United Kingdom;GBP;1
GBP_Auction;20140220;10:46;10-y Bond Auction;United Kingdom;GBP;1
EUR_SpaAuction;20140220;09:51;10-y Obligaciones Auction;Spain;EUR;1
EUR_ItaIndustrialOrders;20140220;09:00;Industrial Orders n.s.a (YoY);Italy;EUR;1
EUR_ItaIndustrialSales;20140220;09:00;Industrial Sales s.a. (MoM);Italy;EUR;1
EUR_EurMarkitPMIComposite;20140220;08:58;Markit PMI Composite;European Monetary Union;EUR;2
EUR_EurMarkitManufacturingPMI;20140220;08:58;Markit Manufacturing PMI;European Monetary Union;EUR;2
EUR_EurMarkitServicesPMI;20140220;08:58;Markit Services PMI;European Monetary Union;EUR;2
INR_M3MoneySupply;20140220;08:30;M3 Money Supply;India;INR;1
EUR_NetUnemploymentRate;20140220;08:30;Unemployment Rate s.a (3M);Netherlands, The;EUR;1
EUR_NetConsumerConfidenceAdj;20140220;08:30;Consumer Confidence Adj;Netherlands, The;EUR;1
EUR_GerMarkitManufacturingPMI;20140220;08:28;Markit Manufacturing PMI;Germany;EUR;2
EUR_GerMarkitServicesPMI;20140220;08:28;Markit Services PMI;Germany;EUR;2
DKK_RetailSales;20140220;08:00;Retail Sales (YoY);Denmark;DKK;1
EUR_FraMarkitManufacturingPMI;20140220;07:58;Markit Manufacturing PMI;France;EUR;1
EUR_FraMarkitServicesPMI;20140220;07:58;Markit Services PMI;France;EUR;1
EUR_FraConsumerPriceIndex;20140220;07:45;Consumer Price Index (EU norm) (YoY);France;EUR;1
EUR_FraInflationextobacco;20140220;07:45;Inflation ex-tobacco (MoM);France;EUR;1
CHF_Exports;20140220;07:00;Exports (MoM);Switzerland;CHF;1
CHF_Imports;20140220;07:00;Imports (MoM);Switzerland;CHF;1
CHF_TradeBalance;20140220;07:00;Trade Balance;Switzerland;CHF;2
EUR_GerProducerPriceIndex;20140220;07:00;Producer Price Index (YoY);Germany;EUR;1
CNY_CaixinManufacturingPMI;20140220;01:45;Caixin Manufacturing PMI;China;CNY;2
AUD_RBAForeignExchangeTransaction;20140220;00:30;RBA Foreign Exchange Transaction;Australia;AUD;1
USD_CentralBankSpeech;20140220;00:00;Fed Williams speech;United States;USD;1
SGD_GrossDomesticProduct;20140220;00:00;Gross Domestic Product (YoY);Singapore;SGD;1
