ARS_ConsumerPriceIndex;20140613;19:00;Consumer Price Index (MoM);Argentina;ARS;1
USD_MichiganConsumerSentimentIndex;20140613;13:55;Michigan Consumer Sentiment Index;United States;USD;2
USD_ProducerPriceIndex;20140613;12:30;Producer Price Index (MoM);United States;USD;2
CAD_ManufacturingShipments;20140613;12:30;Manufacturing Shipments (MoM);Canada;CAD;1
PLN_ConsumerPriceIndex;20140613;12:00;Consumer Price Index (MoM);Poland;PLN;1
PLN_CurrentAccount;20140613;12:00;Current Account;Poland;PLN;1
PLN_M3MoneySupply;20140613;12:00;M3 Money Supply (YoY);Poland;PLN;1
INR_BankLoanGrowth;20140613;11:30;Bank Loan Growth;India;INR;1
INR_FXReservesUSD;20140613;11:30;FX Reserves, USD;India;INR;1
EUR_EurTradeBalance;20140613;09:00;Trade Balance n.s.a.;European Monetary Union;EUR;2
EUR_EurEmploymentChange;20140613;09:00;Employment Change (QoQ);European Monetary Union;EUR;2
EUR_SpaTradeBalance;20140613;09:00;Trade Balance;Spain;EUR;1
EUR_ItaConsumerPriceIndex;20140613;08:00;Consumer Price Index (YoY);Italy;EUR;1
CZK_CurrentAccount;20140613;08:00;Current Account (MoM);Czech Republic;CZK;1
SEK_UnemploymentRate;20140613;07:30;Unemployment Rate;Sweden;SEK;1
EUR_NetRetailSales;20140613;07:30;Retail Sales (YoY);Netherlands, The;EUR;1
EUR_SpaHICP;20140613;07:00;HICP (YoY);Spain;EUR;1
EUR_FinCurrentAccount;20140613;07:00;Current Account;Finland;EUR;1
EUR_SpaConsumerPriceIndex;20140613;07:00;Consumer Price Index (MoM);Spain;EUR;1
EUR_FinGrossDomesticProduct;20140613;06:00;Gross Domestic Product (YoY);Finland;EUR;1
EUR_GerConsumerPriceIndex;20140613;06:00;Consumer Price Index (MoM);Germany;EUR;2
EUR_GerHarmonizedIndexofConsumerPrices;20140613;06:00;Harmonized Index of Consumer Prices (YoY);Germany;EUR;2
EUR_FinConsumerPriceIndex;20140613;06:00;Consumer Price Index (YoY);Finland;EUR;1
CNY_RetailSales;20140613;05:30;Retail Sales (YoY);China;CNY;2
CNY_IndustrialProduction;20140613;05:30;Industrial Production (YoY);China;CNY;2
CNY_FixedAssetInvestment;20140613;05:30;Fixed Asset Investment (YTD) (YoY);China;CNY;2
EUR_FraNonfarmPayrolls;20140613;05:30;Nonfarm Payrolls (QoQ);France;EUR;2
SGD_RetailSales;20140613;05:00;Retail Sales (MoM);Singapore;SGD;1
JPY_IndustrialProduction;20140613;04:30;Industrial Production (MoM);Japan;JPY;1
JPY_CapacityUtilization;20140613;04:30;Capacity Utilization;Japan;JPY;1
JPY_BoJInterestRateDecision;20140613;03:00;BoJ Interest Rate Decision;Japan;JPY;3
JPY_BoJMonetaryPolicyStatement;20140613;03:00;BoJ Monetary Policy Statement ;Japan;JPY;3
SGD_Unemploymentrate;20140613;02:00;Unemployment rate;Singapore;SGD;1
