NZD_FoodPriceIndex;20140710;22:45;Food Price Index (MoM);New Zealand;NZD;1
USD_CentralBankSpeech;20140710;20:30;Fed Richard Fisher speech;United States;USD;1
USD_Auction;20140710;17:00;30-Year Bond Auction;United States;USD;1
USD_EIANaturalGasStorageChange;20140710;14:30;EIA Natural Gas Storage Change;United States;USD;1
USD_WholesaleInventories;20140710;14:00;Wholesale Inventories;United States;USD;1
USD_JoblessClaims;20140710;12:30;Initial Jobless Claims;United States;USD;2
CAD_NewHousingPriceIndex;20140710;12:30;New Housing Price Index (YoY);Canada;CAD;2
GBP_BoEAssetPurchaseFacility;20140710;11:00;BoE Asset Purchase Facility;United Kingdom;GBP;3
GBP_BoEInterestRateDecision;20140710;11:00;BoE Interest Rate Decision;United Kingdom;GBP;3
RUB_CentralBankReserves;20140710;11:00;Central Bank Reserves $;Russia;RUB;1
ZAR_ManufacturingProductionIndex;20140710;11:00;Manufacturing Production Index (YoY);South Africa;ZAR;1
IDR_BankIndonesiaRate;20140710;11:00;Bank Indonesia Rate;Indonesia;IDR;1
EUR_PorGlobalTradeBalance;20140710;10:10;Global Trade Balance;Portugal;EUR;1
EUR_PorConsumerPriceIndex;20140710;10:10;Consumer Price Index (YoY);Portugal;EUR;1
EUR_IreHICP;20140710;10:00;HICP (YoY);Ireland;EUR;1
EUR_IreConsumerPriceIndex;20140710;10:00;Consumer Price Index (YoY);Ireland;EUR;1
EUR_GreUnemploymentRate;20140710;09:00;Unemployment Rate (MoM);Greece;EUR;1
EUR_GreIndustrialProduction;20140710;09:00;Industrial Production (YoY);Greece;EUR;1
GBP_GoodsTradeBalance;20140710;08:30;Goods Trade Balance;United Kingdom;GBP;2
GBP_TradeBalancenonEU;20140710;08:30;Trade Balance non-EU;United Kingdom;GBP;2
GBP_TotalTradeBalance;20140710;08:30;Total Trade Balance;United Kingdom;GBP;2
NOK_ConsumerPriceIndex;20140710;08:00;Consumer Price Index (YoY);Norway;NOK;1
NOK_CoreInflation;20140710;08:00;Core Inflation (MoM);Norway;NOK;1
EUR_ItaIndustrialOutput;20140710;08:00;Industrial Output w.d.a (YoY);Italy;EUR;1
EUR_EurECBMonthlyReport;20140710;08:00;ECB Monthly Report;European Monetary Union;EUR;2
NOK_ProducerPriceIndex;20140710;08:00;Producer Price Index (YoY);Norway;NOK;1
SEK_ConsumerPriceIndex;20140710;07:30;Consumer Price Index (MoM);Sweden;SEK;1
EUR_NetManufacturingOutput;20140710;07:30;Manufacturing Output (MoM);Netherlands, The;EUR;1
EUR_NetConsumerPriceIndex;20140710;07:30;Consumer Price Index n.s.a (YoY);Netherlands, The;EUR;1
EUR_SloIndustrialOutput;20140710;07:00;Industrial Output (YoY);Slovakia;EUR;1
RON_TradeBalance;20140710;07:00;Trade Balance;Romania;RON;1
DKK_ConsumerPriceIndex;20140710;07:00;Consumer Price Index (YoY);Denmark;DKK;1
DKK_Inflation;20140710;07:00;Inflation (HICP) (YoY);Denmark;DKK;1
RON_IndustrialProduction;20140710;07:00;Industrial Production (MoM);Romania;RON;1
RON_ConsumerPriceIndex;20140710;07:00;Consumer Price Index;Romania;RON;1
EUR_FraConsumerPriceIndex;20140710;06:45;Consumer Price Index (EU norm) (MoM);France;EUR;1
EUR_FraIndustrialOutput;20140710;06:45;Industrial Output (MoM);France;EUR;1
EUR_FraInflationextobacco;20140710;06:45;Inflation ex-tobacco (MoM);France;EUR;2
EUR_FinIndustrialOutput;20140710;06:00;Industrial Output (MoM);Finland;EUR;1
JPY_ConsumerConfidenceIndex;20140710;05:00;Consumer Confidence Index;Japan;JPY;2
CNY_Imports;20140710;02:00;Imports (YoY);China;CNY;1
CNY_TradeBalanceUSD;20140710;02:00;Trade Balance USD;China;CNY;2
CNY_Exports;20140710;02:00;Exports (YoY);China;CNY;1
AUD_PartTimeEmployment;20140710;01:30;Part-Time Employment;Australia;AUD;1
AUD_UnemploymentRate;20140710;01:30;Unemployment Rate s.a.;Australia;AUD;3
AUD_EmploymentChange;20140710;01:30;Employment Change s.a.;Australia;AUD;3
AUD_FulltimeEmployment;20140710;01:30;Fulltime Employment;Australia;AUD;2
AUD_ParticipationRate;20140710;01:30;Participation Rate;Australia;AUD;2
AUD_ConsumerInflationExpectations;20140710;01:00;Consumer Inflation Expectations;Australia;AUD;2
