ARS_IndustrialOutput;20150727;19:00;Industrial Output n.s.a (YoY);Argentina;ARS;1
USD_Auction;20150727;15:30;6-Month Bill Auction;United States;USD;1
USD_DallasFedManufacturingBusinessIndex;20150727;14:30;Dallas Fed Manufacturing Business Index;United States;USD;2
MXN_TradeBalance;20150727;13:00;Trade Balance, $;Mexico;MXN;1
MXN_TradeBalancesa;20150727;13:00;Trade Balance s/a, $;Mexico;MXN;1
USD_DurableGoodsOrders;20150727;12:30;Durable Goods Orders ex Transportation;United States;USD;3
TRY_ManufacturingConfidence;20150727;11:30;Manufacturing Confidence;Turkey;TRY;1
TRY_CapacityUtilization;20150727;11:30;Capacity Utilization;Turkey;TRY;1
GBP_CBIIndustrialTrendsSurveyOrders;20150727;10:00;CBI Industrial Trends Survey - Orders (MoM);United Kingdom;GBP;1
EUR_GerIFOCurrentAssessment;20150727;08:00;IFO - Current Assessment;Germany;EUR;0
EUR_GerIFOExpectations;20150727;08:00;IFO - Expectations;Germany;EUR;0
EUR_GerIFOBusinessClimate;20150727;08:00;IFO - Business Climate;Germany;EUR;0
EUR_EurM3MoneySupply;20150727;08:00;M3 Money Supply (YoY);European Monetary Union;EUR;1
EUR_EurPrivateLoans;20150727;08:00;Private Loans (YoY);European Monetary Union;EUR;1
EUR_NetBusinessConfidence;20150727;07:30;Business Confidence;Netherlands, The;EUR;1
EUR_GerImportPriceIndex;20150727;06:00;Import Price Index (YoY);Germany;EUR;1
EUR_FinIndustrialConfidence;20150727;06:00;Industrial Confidence;Finland;EUR;1
EUR_FinConsumerConfidence;20150727;06:00;Consumer Confidence;Finland;EUR;1
