JPY_BSILargeManufacturingConditionsIndex;20150910;23:50;BSI Large Manufacturing Conditions Index (QoQ);Japan;JPY;1
NZD_FoodPriceIndex;20150910;22:45;Food Price Index (MoM);New Zealand;NZD;1
NZD_BusinessNZPMI;20150910;22:30;Business NZ PMI;New Zealand;NZD;2
USD_Auction;20150910;17:00;30-Year Bond Auction;United States;USD;1
USD_EIACrudeOilStocksChange;20150910;15:00;EIA Crude Oil Stocks Change;United States;USD;1
USD_EIANaturalGasStorageChange;20150910;14:30;EIA Natural Gas Storage Change;United States;USD;1
USD_WholesaleInventories;20150910;14:00;Wholesale Inventories;United States;USD;1
RUB_CentralBankReserves;20150910;13:24;Central Bank Reserves $;Russia;RUB;1
USD_JoblessClaims;20150910;12:30;Initial Jobless Claims;United States;USD;2
USD_ImportPriceIndex;20150910;12:30;Import Price Index (MoM);United States;USD;1
USD_ExportPriceIndex;20150910;12:30;Export Price Index (MoM);United States;USD;1
CAD_CapacityUtilization;20150910;12:30;Capacity Utilization;Canada;CAD;1
CAD_NewHousingPriceIndex;20150910;12:30;New Housing Price Index (YoY);Canada;CAD;1
BRL_IPCAInflation;20150910;12:00;IPCA Inflation;Brazil;BRL;1
GBP_BoEAssetPurchaseFacility;20150910;11:00;BoE Asset Purchase Facility;United Kingdom;GBP;3
GBP_BoEInterestRateDecision;20150910;11:00;BoE Interest Rate Decision;United Kingdom;GBP;3
GBP_BoEMPCVoteCut;20150910;11:00;BoE MPC Vote Cut;United Kingdom;GBP;3
GBP_BoEMPCVoteUnchanged;20150910;11:00;BoE MPC Vote Unchanged;United Kingdom;GBP;3
GBP_BankofEnglandMinutes;20150910;11:00;Bank of England Minutes;United Kingdom;GBP;2
GBP_BoEMPCVoteHike;20150910;11:00;BoE MPC Vote Hike;United Kingdom;GBP;3
ZAR_ManufacturingProductionIndex;20150910;11:00;Manufacturing Production Index (YoY);South Africa;ZAR;1
EUR_PorConsumerPriceIndex;20150910;10:06;Consumer Price Index (MoM);Portugal;EUR;1
EUR_IreHICP;20150910;10:00;HICP (YoY);Ireland;EUR;1
EUR_IreConsumerPriceIndex;20150910;10:00;Consumer Price Index (YoY);Ireland;EUR;1
CNY_FDIForeignDirectInvestment;20150910;10:00;FDI - Foreign Direct Investment (YTD) (YoY);China;CNY;2
EUR_GreUnemploymentRate;20150910;09:00;Unemployment Rate (MoM);Greece;EUR;1
NOK_ConsumerPriceIndex;20150910;08:00;Consumer Price Index (YoY);Norway;NOK;1
NOK_CoreInflation;20150910;08:00;Core Inflation (MoM);Norway;NOK;1
NOK_ProducerPriceIndex;20150910;08:00;Producer Price Index (YoY);Norway;NOK;1
SEK_ConsumerPriceIndex;20150910;07:30;Consumer Price Index (YoY);Sweden;SEK;1
EUR_NetConsumerPriceIndex;20150910;07:30;Consumer Price Index n.s.a (YoY);Netherlands, The;EUR;1
EUR_SloIndustrialOutput;20150910;07:00;Industrial Output (YoY);Slovakia;EUR;1
DKK_ConsumerPriceIndex;20150910;07:00;Consumer Price Index (YoY);Denmark;DKK;1
DKK_Inflation;20150910;07:00;Inflation (HICP) (YoY);Denmark;DKK;1
TRY_GrossDomesticProduct;20150910;07:00;Quarterly Gross Domestic Product;Turkey;TRY;1
RON_ConsumerPriceIndex;20150910;07:00;Consumer Price Index;Romania;RON;1
TRY_CurrentAccount;20150910;07:00;Current Account Balance;Turkey;TRY;1
EUR_SpaIndustrialOutputCalAdjusted;20150910;07:00;Industrial Output Cal Adjusted (YoY);Spain;EUR;1
GBP_HalifaxHousePrices;20150910;07:00;Halifax House Prices (3m/YoY);United Kingdom;GBP;1
EUR_AusTradeBalance;20150910;07:00;Trade Balance;Austria;EUR;1
EUR_FraIndustrialOutput;20150910;06:45;Industrial Output (MoM);France;EUR;1
EUR_FinIndustrialOutput;20150910;06:00;Industrial Output (MoM);Finland;EUR;1
EUR_FraNonfarmPayrolls;20150910;05:30;Nonfarm Payrolls (QoQ);France;EUR;1
AUD_PartTimeEmployment;20150910;01:30;Part-Time Employment;Australia;AUD;3
AUD_UnemploymentRate;20150910;01:30;Unemployment Rate s.a.;Australia;AUD;3
AUD_EmploymentChange;20150910;01:30;Employment Change s.a.;Australia;AUD;3
AUD_FulltimeEmployment;20150910;01:30;Fulltime Employment;Australia;AUD;3
AUD_ParticipationRate;20150910;01:30;Participation Rate;Australia;AUD;3
CNY_ConsumerPriceIndex;20150910;01:30;Consumer Price Index (YoY);China;CNY;2
CNY_ProducerPriceIndex;20150910;01:30;Producer Price Index (YoY);China;CNY;2
AUD_ConsumerInflationExpectations;20150910;01:00;Consumer Inflation Expectations;Australia;AUD;2
NZD_REINZHousePriceIndex;20150910;00:01;REINZ House Price Index (MoM);New Zealand;NZD;2
PEN_Interestratedecision;20150910;00:00;Interest rate decision;Peru;PEN;1
