JPY_JPForeignReserves;20160204;23:50;JP Foreign Reserves;Japan;JPY;1
AUD_AiGPerformanceofConstructionIndex;20160204;22:30;AiG Performance of Construction Index;Australia;AUD;2
MXN_CentralBankInterestRate;20160204;19:00;Central Bank Interest Rate;Mexico;MXN;1
USD_EIANaturalGasStorageChange;20160204;15:30;EIA Natural Gas Storage Change;United States;USD;1
USD_FactoryOrders;20160204;15:00;Factory Orders (MoM);United States;USD;2
RUB_CentralBankReserves;20160204;13:38;Central Bank Reserves $;Russia;RUB;1
USD_JoblessClaims;20160204;13:30;Initial Jobless Claims;United States;USD;2
USD_UnitLaborCosts;20160204;13:30;Unit Labor Costs;United States;USD;1
USD_NonfarmProductivity;20160204;13:30;Nonfarm Productivity;United States;USD;1
RUB_GrossDomesticProduct;20160204;13:00;Gross Domestic Product Monthly (YoY);Russia;RUB;1
GBP_CentralBankSpeech;20160204;12:45;BoE Governor Carney speech;United Kingdom;GBP;3
USD_ChallengerJobCuts;20160204;12:30;Challenger Job Cuts;United States;USD;1
GBP_BoEAssetPurchaseFacility;20160204;12:00;BoE Asset Purchase Facility;United Kingdom;GBP;3
GBP_BoEInterestRateDecision;20160204;12:00;BoE Interest Rate Decision;United Kingdom;GBP;3
GBP_MonetaryPolicySummary;20160204;12:00;Monetary Policy Summary;United Kingdom;GBP;2
GBP_BankofEnglandQuarterlyInflationReport;20160204;12:00;Bank of England Quarterly Inflation Report;United Kingdom;GBP;2
GBP_BoEMPCVoteCut;20160204;12:00;BoE MPC Vote Cut;United Kingdom;GBP;3
GBP_BoEMPCVoteUnchanged;20160204;12:00;BoE MPC Vote Unchanged;United Kingdom;GBP;3
GBP_BankofEnglandMinutes;20160204;12:00;Bank of England Minutes;United Kingdom;GBP;2
GBP_BoEMPCVoteHike;20160204;12:00;BoE MPC Vote Hike;United Kingdom;GBP;3
CZK_CNBInterestRateDecision;20160204;12:00;CNB Interest Rate Decision;Czech Republic;CZK;1
EUR_SpaAuction;20160204;11:58;10-y Obligaciones Auction;Spain;EUR;1
EUR_FraAuction;20160204;11:57;10-y Bond Auction;France;EUR;1
EUR_EurEuropeanCommissionreleasesEconomicGrowthForecasts;20160204;10:00;European Commission releases Economic Growth Forecasts;European Monetary Union;EUR;2
ZAR_BusinessConfidenceIndex;20160204;09:30;Business Confidence Index;South Africa;ZAR;1
EUR_EurEconomicBulletin;20160204;09:00;Economic Bulletin;European Monetary Union;EUR;2
GBP_HalifaxHousePrices;20160204;08:31;Halifax House Prices (3m/YoY);United Kingdom;GBP;1
EUR_EurCentralBankSpeech;20160204;08:00;ECB President Draghi speech;European Monetary Union;EUR;3
CZK_RetailSales;20160204;08:00;Retail Sales (YoY);Czech Republic;CZK;1
USD_CentralBankSpeech;20160204;07:15;Fed Rosengren speech;United States;USD;1
CHF_SECOConsumerClimate;20160204;06:45;SECO Consumer Climate (3m);Switzerland;CHF;2
AUD_NationalAustraliaBankBusinessConfidence;20160204;00:30;National Australia Bank Business Confidence (QoQ);Australia;AUD;2
