JPY_MachineryOrders;20160216;23:50;Machinery Orders (MoM);Japan;JPY;1
AUD_WestpacLeadingIndex;20160216;23:30;Westpac Leading Index (MoM);Australia;AUD;1
KRW_UnemploymentRate;20160216;23:00;Unemployment Rate;South Korea;KRW;1
USD_NetLongTermTICFlows;20160216;21:00;Net Long-Term TIC Flows;United States;USD;1
USD_TotalNetTICFlows;20160216;21:00;Total Net TIC Flows;United States;USD;1
USD_Auction;20160216;16:30;6-Month Bill Auction;United States;USD;1
NZD_GDTPriceIndex;20160216;15:09;GDT Price Index;New Zealand;NZD;1
USD_NAHBHousingMarketIndex;20160216;15:00;NAHB Housing Market Index;United States;USD;2
USD_NYEmpireStateManufacturingIndex;20160216;13:30;NY Empire State Manufacturing Index;United States;USD;1
CAD_ManufacturingShipments;20160216;13:30;Manufacturing Shipments (MoM);Canada;CAD;1
PLN_CorporateSectorWages;20160216;13:00;Corporate Sector Wages;Poland;PLN;1
BRL_RetailSales;20160216;11:00;Retail Sales (MoM);Brazil;BRL;1
EUR_SpaAuction;20160216;10:11;12-Month Letras Auction;Spain;EUR;1
EUR_GerZEWSurveyEconomicSentiment;20160216;10:00;ZEW Survey - Economic Sentiment;Germany;EUR;1
EUR_EurZEWSurveyEconomicSentiment;20160216;10:00;ZEW Survey - Economic Sentiment;European Monetary Union;EUR;1
EUR_GerZEWSurveyCurrentSituation;20160216;10:00;ZEW Survey - Current Situation;Germany;EUR;1
GBP_RetailPriceIndex;20160216;09:30;Retail Price Index (MoM);United Kingdom;GBP;1
GBP_DCLGHousePriceIndex;20160216;09:30;DCLG House Price Index (YoY);United Kingdom;GBP;1
GBP_ProducerPriceIndex;20160216;09:30;Producer Price Index - Output (YoY) n.s.a;United Kingdom;GBP;2
GBP_PPICoreOutput;20160216;09:30;PPI Core Output (MoM) n.s.a;United Kingdom;GBP;2
GBP_ConsumerPriceIndex;20160216;09:30;Core Consumer Price Index (YoY);United Kingdom;GBP;3
EUR_ItaTradeBalanceEU;20160216;09:00;Trade Balance EU;Italy;EUR;1
EUR_ItaGlobalTradeBalance;20160216;09:00;Global Trade Balance;Italy;EUR;1
NOK_GrossDomesticProduct;20160216;09:00;Gross Domestic Product Growth Mainland;Norway;NOK;1
CZK_GrossDomesticProduct;20160216;08:00;Gross Domestic Product (YoY) 	;Czech Republic;CZK;1
KRW_BoKInterestRateDecision;20160216;07:42;BoK Interest Rate Decision;South Korea;KRW;1
CNY_M2MoneySupply;20160216;02:11;M2 Money Supply (YoY);China;CNY;1
CNY_NewLoans;20160216;02:10;New Loans;China;CNY;1
NZD_RBNZInflationExpectations;20160216;02:00;RBNZ Inflation Expectations (QoQ);New Zealand;NZD;1
AUD_RBAMeetingMinutes;20160216;00:30;RBA Meeting Minutes;Australia;AUD;3
KRW_TradeBalance;20160216;00:00;Trade Balance;South Korea;KRW;1
