NZD_BusinessNZPMI;20170316;21:30;Business NZ PMI;New Zealand;NZD;2
ARS_UnemploymentRate;20170316;19:00;Unemployment Rate (QoQ)	;Argentina;ARS;1
USD_EIANaturalGasStorageChange;20170316;14:30;EIA Natural Gas Storage Change;United States;USD;1
USD_JOLTSJobOpenings;20170316;14:00;JOLTS Job Openings;United States;USD;1
RUB_CentralBankReserves;20170316;13:00;Central Bank Reserves $;Russia;RUB;1
PLN_CurrentAccount;20170316;13:00;Current Account;Poland;PLN;1
PLN_CorporateSectorWages;20170316;13:00;Corporate Sector Wages;Poland;PLN;1
USD_HousingStarts;20170316;12:30;Housing Starts (MoM);United States;USD;2
USD_BuildingPermitsChange;20170316;12:30;Building Permits Change;United States;USD;1
USD_HousingStartsChange;20170316;12:30;Housing Starts Change;United States;USD;1
USD_BuildingPermits;20170316;12:30;Building Permits (MoM);United States;USD;1
USD_JoblessClaims;20170316;12:30;Initial Jobless Claims;United States;USD;2
CAD_CanadianPortfolioInvestmentinForeignSecurities;20170316;12:30;Canadian Portfolio Investment in Foreign Securities;Canada;CAD;1
CAD_ForeignPortfolioInvestmentinCanadianSecurities;20170316;12:30;Foreign Portfolio Investment in Canadian Securities;Canada;CAD;1
USD_PhiladelphiaFedManufacturingSurvey;20170316;12:30;Philadelphia Fed Manufacturing Survey;United States;USD;2
GBP_BoEAssetPurchaseFacility;20170316;12:00;BoE Asset Purchase Facility;United Kingdom;GBP;3
GBP_BoEInterestRateDecision;20170316;12:00;BoE Interest Rate Decision;United Kingdom;GBP;3
GBP_MonetaryPolicySummary;20170316;12:00;Monetary Policy Summary;United Kingdom;GBP;3
GBP_BoEMPCVoteCut;20170316;12:00;BoE MPC Vote Cut;United Kingdom;GBP;3
GBP_BoEMPCVoteUnchanged;20170316;12:00;BoE MPC Vote Unchanged;United Kingdom;GBP;3
GBP_BankofEnglandMinutes;20170316;12:00;Bank of England Minutes;United Kingdom;GBP;3
GBP_BoEMPCVoteHike;20170316;12:00;BoE MPC Vote Hike;United Kingdom;GBP;3
TRY_ConstitutionReferendum;20170316;12:00;Constitution Referendum;Turkey;TRY;1
TRY_CBRTInterestRateDecision;20170316;11:00;CBRT Interest Rate Decision;Turkey;TRY;0
CNY_FDIForeignDirectInvestment;20170316;11:00;FDI - Foreign Direct Investment (YTD) (YoY);China;CNY;2
EUR_GreUnemploymentRate;20170316;10:00;Unemployment Rate (QoQ);Greece;EUR;1
EUR_EurConsumerPriceIndex;20170316;10:00;Consumer Price Index (YoY);European Monetary Union;EUR;2
EUR_SpaAuction;20170316;10:00;5-y Bond Auction;Spain;EUR;1
IDR_BankIndonesiaRate;20170316;10:00;Bank Indonesia Rate;Indonesia;IDR;1
CZK_CurrentAccount;20170316;09:00;Current Account (MoM);Czech Republic;CZK;1
NOK_NorgesBankInterestRateDecision;20170316;09:00;Norges Bank Interest Rate Decision;Norway;NOK;0
CHF_SNBInterestRateDecision;20170316;08:30;SNB Interest Rate Decision;Switzerland;CHF;3
HKD_Unemploymentrate;20170316;08:30;Unemployment rate;Hong Kong SAR;HKD;1
SEK_UnemploymentRate;20170316;08:30;Unemployment Rate;Sweden;SEK;1
CZK_ProducerPriceIndex;20170316;08:00;Producer Price Index (YoY);Czech Republic;CZK;1
EUR_AusHICP;20170316;08:00;HICP (YoY);Austria;EUR;1
EUR_SloEUNormInflation;20170316;08:00;EU Norm Inflation (MoM);Slovakia;EUR;1
NOK_TradeBalance;20170316;07:00;Trade Balance;Norway;NOK;1
EUR_FinGrossDomesticProduct;20170316;07:00;Gross Domestic Product (YoY);Finland;EUR;1
EUR_NetUnemploymentRate;20170316;06:30;Unemployment Rate s.a (3M);Netherlands, The;EUR;1
JPY_BoJPressConference;20170316;05:30;BoJ Press Conference;Japan;JPY;3
JPY_BoJMonetaryPolicyStatement;20170316;02:55;BoJ Monetary Policy Statement ;Japan;JPY;3
JPY_BoJInterestRateDecision;20170316;02:55;BoJ Interest Rate Decision;Japan;JPY;3
AUD_RBAForeignExchangeTransaction;20170316;01:30;RBA Foreign Exchange Transaction;Australia;AUD;1
AUD_PartTimeEmployment;20170316;00:30;Part-Time Employment;Australia;AUD;1
AUD_UnemploymentRate;20170316;00:30;Unemployment Rate s.a.;Australia;AUD;3
AUD_FulltimeEmployment;20170316;00:30;Fulltime Employment;Australia;AUD;1
AUD_EmploymentChange;20170316;00:30;Employment Change s.a.;Australia;AUD;3
AUD_ParticipationRate;20170316;00:30;Participation Rate;Australia;AUD;2
AUD_RBABulletin;20170316;00:30;RBA Bulletin;Australia;AUD;2
AUD_ConsumerInflationExpectations;20170316;00:00;Consumer Inflation Expectations;Australia;AUD;2
