KRW_ProducerPriceIndex;20170418;21:00;Producer Price Index Growth (YoY);South Korea;KRW;1
USD_APIWeeklyCrudeOilStock;20170418;20:30;API Weekly Crude Oil Stock;United States;USD;1
USD_Auction;20170418;15:30;4-Week Bill Auction;United States;USD;1
NZD_GDTPriceIndex;20170418;14:21;GDT Price Index;New Zealand;NZD;2
USD_IndustrialProduction;20170418;13:15;Industrial Production (MoM);United States;USD;2
USD_CapacityUtilization;20170418;13:15;Capacity Utilization;United States;USD;2
USD_RedbookIndex;20170418;12:55;Redbook Index (MoM);United States;USD;1
USD_HousingStarts;20170418;12:30;Housing Starts (MoM);United States;USD;2
USD_BuildingPermitsChange;20170418;12:30;Building Permits Change;United States;USD;2
USD_HousingStartsChange;20170418;12:30;Housing Starts Change;United States;USD;2
USD_BuildingPermits;20170418;12:30;Building Permits (MoM);United States;USD;2
CAD_CanadianPortfolioInvestmentinForeignSecurities;20170418;12:30;Canadian Portfolio Investment in Foreign Securities;Canada;CAD;1
CAD_ForeignPortfolioInvestmentinCanadianSecurities;20170418;12:30;Foreign Portfolio Investment in Canadian Securities;Canada;CAD;1
EUR_SpaAuction;20170418;10:43;9-Month Letras Auction;Spain;EUR;1
GBP_CentralBankSpeech;20170418;10:15;UK Prime Minister Theresa May speech;United Kingdom;GBP;3
CNY_HousePriceIndex;20170418;01:30;House Price Index ;China;CNY;1
AUD_RBAMeetingMinutes;20170418;01:30;RBA Meeting Minutes;Australia;AUD;3
