MXN_FiscalBalancepesos;20170929;21:00;Fiscal Balance, pesos;Mexico;MXN;1
COP_Interestrate;20170929;20:00;Interest rate;Colombia;COP;1
AUD_CFTCAUDNCNetPositions;20170929;19:30;CFTC AUD NC Net Positions;Australia;AUD;1
JPY_CFTCJPYNCNetPositions;20170929;19:30;CFTC JPY NC Net Positions;Japan;JPY;1
USD_CFTCGoldNCNetPositions;20170929;19:30;CFTC Gold NC Net Positions;United States;USD;1
USD_CFTCUSDNCNetPositions;20170929;19:30;CFTC USD NC Net Positions;United States;USD;1
USD_CFTCOilNCNetPositions;20170929;19:30;CFTC Oil NC Net Positions;United States;USD;1
EUR_EurCFTCEURNCNetPositions;20170929;19:30;CFTC EUR NC Net Positions;European Monetary Union;EUR;1
GBP_CFTCGBPNCNetPositions;20170929;19:30;CFTC GBP NC Net Positions;United Kingdom;GBP;1
USD_BakerHughesUSOilRigCount;20170929;17:00;Baker Hughes US Oil Rig Count;United States;USD;2
COP_NationalJoblessRate;20170929;15:00;National Jobless Rate;Colombia;COP;1
USD_CentralBankSpeech;20170929;15:00;Fed Harker speech;United States;USD;2
USD_MichiganConsumerSentimentIndex;20170929;14:00;Michigan Consumer Sentiment Index;United States;USD;2
USD_ChicagoPurchasingManagers'Index;20170929;13:45;Chicago Purchasing Managers' Index;United States;USD;2
BRL_PrimaryBudgetSurplus;20170929;13:30;Primary Budget Surplus;Brazil;BRL;1
BRL_NominalBudgetBalance;20170929;13:30;Nominal Budget Balance;Brazil;BRL;1
USD_PersonalConsumptionExpendituresPriceIndex;20170929;12:30;Personal Consumption Expenditures - Price Index (MoM);United States;USD;2
USD_PersonalSpending;20170929;12:30;Personal Spending;United States;USD;2
USD_CorePersonalConsumptionExpenditurePriceIndex;20170929;12:30;Core Personal Consumption Expenditure - Price Index (YoY);United States;USD;3
USD_PersonalIncome;20170929;12:30;Personal Income (MoM);United States;USD;2
CAD_RawMaterialPriceIndex;20170929;12:30;Raw Material Price Index;Canada;CAD;1
CAD_IndustrialProductPrice;20170929;12:30;Industrial Product Price (MoM);Canada;CAD;1
CAD_GrossDomesticProduct;20170929;12:30;Gross Domestic Product (MoM);Canada;CAD;2
BRL_UnemploymentRate;20170929;12:00;Unemployment Rate;Brazil;BRL;1
PLN_ConsumerPriceIndex;20170929;12:00;Consumer Price Index (MoM);Poland;PLN;1
CLP_Unemploymentrate;20170929;12:00;Unemployment rate;Chile;CLP;1
GBP_CentralBankSpeech;20170929;12:00;BoE Cunliffe speech;United Kingdom;GBP;2
ZAR_TradeBalance;20170929;12:00;Trade Balance (in Rands);South Africa;ZAR;1
CLP_IndustrialProduction;20170929;12:00;Industrial Production (YoY);Chile;CLP;1
INR_BankLoanGrowth;20170929;11:30;Bank Loan Growth;India;INR;1
INR_FXReservesUSD;20170929;11:30;FX Reserves, USD;India;INR;1
EUR_ItaProducerPriceIndex;20170929;10:04;Producer Price Index (YoY);Italy;EUR;1
INR_FederalFiscalDeficitINR;20170929;10:00;Federal Fiscal Deficit, INR;India;INR;1
EUR_EurConsumerPriceIndex;20170929;09:00;Consumer Price Index (YoY);European Monetary Union;EUR;3
EUR_ItaConsumerPriceIndex;20170929;09:00;Consumer Price Index (YoY);Italy;EUR;1
EUR_GreRetailSales;20170929;09:00;Retail Sales (YoY);Greece;EUR;1
EUR_AusProducerPriceIndex;20170929;09:00;Producer Price Index (MoM);Austria;EUR;1
EUR_GreProducerPriceIndex;20170929;09:00;Producer Price Index (YoY);Greece;EUR;1
GBP_NetLendingtoIndividuals;20170929;08:30;Net Lending to Individuals (MoM);United Kingdom;GBP;1
GBP_GrossDomesticProduct;20170929;08:30;Gross Domestic Product (YoY);United Kingdom;GBP;2
GBP_TotalBusinessInvestment;20170929;08:30;Total Business Investment (QoQ);United Kingdom;GBP;1
GBP_ConsumerCredit;20170929;08:30;Consumer Credit;United Kingdom;GBP;2
GBP_MortgageApprovals;20170929;08:30;Mortgage Approvals;United Kingdom;GBP;2
GBP_IndexofServices;20170929;08:30;Index of Services (3M/3M);United Kingdom;GBP;1
GBP_M4MoneySupply;20170929;08:30;M4 Money Supply (YoY);United Kingdom;GBP;1
GBP_CurrentAccount;20170929;08:30;Current Account;United Kingdom;GBP;1
EUR_SpaCurrentAccount;20170929;08:28;Current Account Balance;Spain;EUR;1
EUR_GerUnemploymentChange;20170929;08:00;Unemployment Change;Germany;EUR;3
EUR_GerUnemploymentRate;20170929;08:00;Unemployment Rate s.a.;Germany;EUR;3
TRY_ForeignArrivals;20170929;08:00;Foreign Arrivals;Turkey;TRY;1
NOK_RegisteredUnemployment;20170929;08:00;Registered Unemployment n.s.a;Norway;NOK;1
CHF_KOFLeadingIndicator;20170929;07:00;KOF Leading Indicator;Switzerland;CHF;2
TRY_TradeBalance;20170929;07:00;Trade Balance;Turkey;TRY;1
DKK_GrossDomesticProduct;20170929;07:00;Gross Domestic Product - Revised (YoY);Denmark;DKK;1
HUF_ProducerPriceIndex;20170929;07:00;Producer Price Index (YoY);Hungary;HUF;1
EUR_FraProducerPrices;20170929;06:45;Producer Prices (MoM);France;EUR;1
EUR_FraConsumerPriceIndex;20170929;06:45;Consumer Price Index (EU norm) (YoY);France;EUR;2
EUR_FraConsumerSpending;20170929;06:45;Consumer Spending (MoM);France;EUR;1
GBP_NationwideHousingPrices;20170929;06:00;Nationwide Housing Prices n.s.a (YoY);United Kingdom;GBP;1
EUR_GerRetailSales;20170929;06:00;Retail Sales (YoY);Germany;EUR;2
NOK_RetailSales;20170929;06:00;Retail Sales ;Norway;NOK;1
ZAR_PrivateSectorCredit;20170929;06:00;Private Sector Credit;South Africa;ZAR;1
ZAR_M3MoneySupply;20170929;06:00;M3 Money Supply (YoY);South Africa;ZAR;1
JPY_AnnualizedHousingStarts;20170929;05:00;Annualized Housing Starts;Japan;JPY;1
JPY_HousingStarts;20170929;05:00;Housing Starts (YoY);Japan;JPY;1
JPY_ConstructionOrders;20170929;05:00;Construction Orders (YoY);Japan;JPY;1
JPY_VehicleProduction;20170929;04:00;Vehicle Production (YoY);Japan;JPY;1
AUD_PrivateSectorCredit;20170929;01:30;Private Sector Credit (YoY);Australia;AUD;1
