NZD_GrossDomesticProduct;20180919;22:45;Gross Domestic Product (YoY);New Zealand;NZD;2
BRL_InterestRateDecision;20180919;17:00;Interest Rate Decision;Brazil;BRL;1
USD_EIACrudeOilStocksChange;20180919;14:30;EIA Crude Oil Stocks Change;United States;USD;1
EUR_EurCentralBankSpeech;20180919;13:00;ECB President Draghi speech;European Monetary Union;EUR;3
RUB_UnemploymentRate;20180919;13:00;Unemployment Rate;Russia;RUB;1
USD_HousingStarts;20180919;12:30;Housing Starts (MoM);United States;USD;2
USD_BuildingPermitsChange;20180919;12:30;Building Permits Change;United States;USD;1
USD_HousingStartsChange;20180919;12:30;Housing Starts Change;United States;USD;1
USD_BuildingPermits;20180919;12:30;Building Permits (MoM);United States;USD;2
USD_CurrentAccount;20180919;12:30;Current Account;United States;USD;1
USD_MBAMortgageApplications;20180919;11:00;MBA Mortgage Applications;United States;USD;1
EUR_PorCurrentAccount;20180919;10:30;Current Account Balance;Portugal;EUR;1
EUR_GerAuction;20180919;09:50;10-y Bond Auction;Germany;EUR;2
EUR_EurConstructionOutput;20180919;09:00;Construction Output w.d.a (YoY);European Monetary Union;EUR;1
GBP_RetailPriceIndex;20180919;08:30;Retail Price Index (MoM);United Kingdom;GBP;2
GBP_DCLGHousePriceIndex;20180919;08:30;DCLG House Price Index (YoY);United Kingdom;GBP;1
GBP_ProducerPriceIndex;20180919;08:30;Producer Price Index - Output (YoY) n.s.a;United Kingdom;GBP;1
GBP_PPICoreOutput;20180919;08:30;PPI Core Output (YoY) n.s.a ;United Kingdom;GBP;1
GBP_ConsumerPriceIndex;20180919;08:30;Core Consumer Price Index (YoY);United Kingdom;GBP;3
EUR_EurCurrentAccount;20180919;08:00;Current Account s.a;European Monetary Union;EUR;1
PLN_IndustrialOutput;20180919;08:00;Industrial Output (YoY);Poland;PLN;1
PLN_ProducerPriceIndex;20180919;08:00;Producer Price Index (YoY);Poland;PLN;1
ZAR_ConsumerPriceIndex;20180919;08:00;Consumer Price Index (YoY);South Africa;ZAR;1
GBP_CentralBankSpeech;20180919;08:00;BoE Haldane speech;United Kingdom;GBP;2
JPY_BoJPressConference;20180919;06:00;BoJ Press Conference;Japan;JPY;3
EUR_FinCurrentAccount;20180919;06:00;Current Account;Finland;EUR;1
CHF_SECOEconomicForecasts;20180919;05:45;SECO Economic Forecasts;Switzerland;CHF;1
JPY_BoJInterestRateDecision;20180919;02:59;BoJ Interest Rate Decision;Japan;JPY;3
JPY_BoJMonetaryPolicyStatement;20180919;02:59;BoJ Monetary Policy Statement ;Japan;JPY;3
AUD_CentralBankSpeech;20180919;01:30;RBA Kent speech;Australia;AUD;2
AUD_WestpacLeadingIndex;20180919;00:30;Westpac Leading Index (MoM);Australia;AUD;1
CLP_ArmyDay;20180919;00:00;Army Day;Chile;CLP;0
