NZD_GrossDomesticProduct;20190320;21:45;Gross Domestic Product (QoQ);New Zealand;NZD;3
GBP_CentralBankSpeech;20190320;20:15;UK Prime Minister Theresa May speech;United Kingdom;GBP;3
USD_FOMCPressConference;20190320;18:30;FOMC Press Conference;United States;USD;3
USD_FOMCEconomicProjections;20190320;18:00;FOMC Economic Projections;United States;USD;3
USD_FedMonetaryPolicyStatement;20190320;18:00;Fed Monetary Policy Statement;United States;USD;3
USD_FedInterestRateDecision;20190320;18:00;Fed Interest Rate Decision;United States;USD;3
BRL_InterestRateDecision;20190320;17:00;Interest Rate Decision;Brazil;BRL;1
COP_TradeBalance;20190320;15:00;Trade Balance;Colombia;COP;1
USD_EIACrudeOilStocksChange;20190320;14:30;EIA Crude Oil Stocks Change;United States;USD;1
EUR_BelConsumerConfidenceIndex;20190320;14:00;Consumer Confidence Index;Belgium;EUR;1
RUB_UnemploymentRate;20190320;14:00;Unemployment Rate;Russia;RUB;1
EUR_PorCurrentAccount;20190320;11:13;Current Account Balance;Portugal;EUR;1
GBP_CBIIndustrialTrendsSurveyOrders;20190320;11:00;CBI Industrial Trends Survey - Orders (MoM);United Kingdom;GBP;1
USD_MBAMortgageApplications;20190320;11:00;MBA Mortgage Applications;United States;USD;1
ZAR_RetailSales;20190320;11:00;Retail Sales (YoY);South Africa;ZAR;1
GBP_RetailPriceIndex;20190320;09:30;Retail Price Index (YoY);United Kingdom;GBP;2
GBP_DCLGHousePriceIndex;20190320;09:30;DCLG House Price Index (YoY);United Kingdom;GBP;1
GBP_PPICoreOutput;20190320;09:30;PPI Core Output (YoY) n.s.a ;United Kingdom;GBP;2
GBP_ProducerPriceIndex;20190320;09:30;Producer Price Index - Input (MoM) n.s.a;United Kingdom;GBP;1
GBP_ConsumerPriceIndex;20190320;09:30;Core Consumer Price Index (YoY);United Kingdom;GBP;2
PLN_IndustrialOutput;20190320;09:00;Industrial Output (YoY);Poland;PLN;1
PLN_ProducerPriceIndex;20190320;09:00;Producer Price Index (YoY);Poland;PLN;1
ISK_CBIInterestRateDecision;20190320;08:55;CBI Interest Rate Decision;Iceland;ISK;1
EUR_EurNonMonetaryPolicyECBMeeting;20190320;08:00;Non-Monetary Policy ECB Meeting;European Monetary Union;EUR;1
ZAR_ConsumerPriceIndex;20190320;08:00;Consumer Price Index (YoY);South Africa;ZAR;1
EUR_GerProducerPriceIndex;20190320;07:00;Producer Price Index (MoM);Germany;EUR;2
JPY_CoincidentIndex;20190320;05:00;Coincident Index;Japan;JPY;1
JPY_LeadingEconomicIndex;20190320;05:00;Leading Economic Index;Japan;JPY;2
AUD_CentralBankSpeech;20190320;00:00;RBA Bullock speech;Australia;AUD;2
