GBP_CFTCGBPNCNetPositions;20191011;19:30;CFTC GBP NC Net Positions;United Kingdom;GBP;1
USD_CFTCGoldNCNetPositions;20191011;19:30;CFTC Gold NC Net Positions;United States;USD;1
USD_CFTCOilNCNetPositions;20191011;19:30;CFTC Oil NC Net Positions;United States;USD;1
JPY_CFTCJPYNCNetPositions;20191011;19:30;CFTC JPY NC Net Positions;Japan;JPY;1
USD_CFTCUSDNCNetPositions;20191011;19:30;CFTC USD NC Net Positions;United States;USD;1
AUD_CFTCAUDNCNetPositions;20191011;19:30;CFTC AUD NC Net Positions;Australia;AUD;1
EUR_EurCFTCEURNCNetPositions;20191011;19:30;CFTC EUR NC Net Positions;European Monetary Union;EUR;1
USD_CentralBankSpeech;20191011;17:15;Fed Rosengren speech;United States;USD;2
USD_BakerHughesUSOilRigCount;20191011;17:00;Baker Hughes US Oil Rig Count;United States;USD;1
USD_MichiganConsumerSentimentIndex;20191011;14:00;Michigan Consumer Sentiment Index;United States;USD;3
RUB_ForeignTrade;20191011;13:00;Foreign Trade;Russia;RUB;1
USD_ExportPriceIndex;20191011;12:30;Export Price Index (YoY);United States;USD;1
USD_ImportPriceIndex;20191011;12:30;Import Price Index (YoY);United States;USD;1
CAD_ParticipationRate;20191011;12:30;Participation Rate;Canada;CAD;2
CAD_UnemploymentRate;20191011;12:30;Unemployment Rate;Canada;CAD;3
CAD_AverageHourlyWages;20191011;12:30;Average Hourly Wages (YoY);Canada;CAD;2
CAD_NetChangeinEmployment;20191011;12:30;Net Change in Employment;Canada;CAD;3
RUB_BudgetFulfilment;20191011;12:00;Budget Fulfilment;Russia;RUB;1
INR_IndustrialOutput;20191011;12:00;Industrial Output;India;INR;1
INR_ManufacturingOutput;20191011;12:00;Manufacturing Output;India;INR;1
INR_CumulativeIndustrialOutput;20191011;12:00;Cumulative Industrial Output;India;INR;1
INR_BankLoanGrowth;20191011;11:30;Bank Loan Growth;India;INR;1
INR_FXReservesUSD;20191011;11:30;FX Reserves, USD;India;INR;1
MXN_IndustrialOutput;20191011;11:00;Industrial Output (MoM);Mexico;MXN;1
EUR_EurCentralBankSpeech;20191011;09:30;ECB President Draghi speech;European Monetary Union;EUR;3
EUR_SpaHICP;20191011;07:00;HICP (YoY);Spain;EUR;1
RON_ConsumerPriceIndex;20191011;07:00;Consumer Price Index;Romania;RON;1
TRY_CurrentAccount;20191011;07:00;Current Account Balance;Turkey;TRY;1
EUR_SpaConsumerPriceIndex;20191011;07:00;Consumer Price Index (MoM);Spain;EUR;1
EUR_GerHarmonizedIndexofConsumerPrices;20191011;06:00;Harmonized Index of Consumer Prices (MoM);Germany;EUR;1
EUR_GerConsumerPriceIndex;20191011;06:00;Consumer Price Index (MoM);Germany;EUR;1
SGD_RetailSales;20191011;05:00;Retail Sales (YoY);Singapore;SGD;1
AUD_InvestmentLendingforHomes;20191011;01:30;Investment Lending for Homes;Australia;AUD;2
AUD_FinancialStabilityReview;20191011;00:30;Financial Stability Review;Australia;AUD;1
