JPY_BoJSummaryofOpinions;20200128;23:50;BoJ Summary of Opinions;Japan;JPY;1
AUD_WestpacLeadingIndex;20200128;23:30;Westpac Leading Index (MoM);Australia;AUD;2
KRW_ConsumerSentimentIndex;20200128;22:00;Consumer Sentiment Index;South Korea;KRW;1
USD_APIWeeklyCrudeOilStock;20200128;21:30;API Weekly Crude Oil Stock;United States;USD;1
USD_Auction;20200128;18:00;7-Year Note Auction;United States;USD;1
USD_ConsumerConfidence;20200128;15:00;Consumer Confidence;United States;USD;2
USD_RichmondFedManufacturingIndex;20200128;15:00;Richmond Fed Manufacturing Index;United States;USD;1
USD_S&PCaseShillerHomePriceIndices;20200128;14:00;S&P/Case-Shiller Home Price Indices (YoY);United States;USD;2
USD_RedbookIndex;20200128;13:55;Redbook Index (YoY);United States;USD;1
USD_DurableGoodsOrders;20200128;13:30;Durable Goods Orders ex Transportation;United States;USD;2
USD_NondefenseCapitalGoodsOrdersexAircraft;20200128;13:30;Nondefense Capital Goods Orders ex Aircraft;United States;USD;3
EUR_SloCurrentAccount;20200128;13:30;Current Account Balance EUR;Slovakia;EUR;1
RUB_UnemploymentRate;20200128;13:00;Unemployment Rate;Russia;RUB;1
HUF_MNBInterestRateDecision;20200128;13:00;MNB Interest Rate Decision;Hungary;HUF;1
MXN_TradeBalance;20200128;12:00;Trade Balance, $;Mexico;MXN;1
MXN_TradeBalancesa;20200128;12:00;Trade Balance s/a, $;Mexico;MXN;1
EUR_IreRetailSales;20200128;11:00;Retail Sales (YoY);Ireland;EUR;1
GBP_CBIDistributiveTradesSurveyRealized;20200128;11:00;CBI Distributive Trades Survey - Realized (MoM);United Kingdom;GBP;1
GBP_Auction;20200128;10:30;10-y Bond Auction;United Kingdom;GBP;1
SEK_RetailSales;20200128;08:30;Retail Sales (MoM);Sweden;SEK;1
SEK_ProducerPriceIndex;20200128;08:30;Producer Price Index (MoM);Sweden;SEK;1
SEK_TradeBalance;20200128;08:30;Trade Balance (MoM);Sweden;SEK;1
EUR_SpaUnemploymentSurvey;20200128;08:00;Unemployment Survey;Spain;EUR;1
CHF_TradeBalance;20200128;07:00;Trade Balance;Switzerland;CHF;1
CHF_Exports;20200128;07:00;Exports (MoM);Switzerland;CHF;1
CHF_Imports;20200128;07:00;Imports (MoM);Switzerland;CHF;1
AUD_NationalAustraliaBankBusinessConditions;20200128;00:30;National Australia Bank Business Conditions;Australia;AUD;1
AUD_NationalAustraliaBankBusinessConfidence;20200128;00:30;National Australia Bank Business Confidence;Australia;AUD;1
