KRW_ProducerPriceIndex;20200319;21:00;Producer Price Index Growth (MoM);South Korea;KRW;1
USD_Auction;20200319;15:30;4-Week Bill Auction;United States;USD;1
COP_TradeBalance;20200319;15:00;Trade Balance;Colombia;COP;1
JPY_VernalEquinoxDay;20200319;15:00;Vernal Equinox Day;Japan;JPY;0
USD_EIANaturalGasStorageChange;20200319;14:30;EIA Natural Gas Storage Change;United States;USD;1
RUB_CentralBankReserves;20200319;14:00;Central Bank Reserves $;Russia;RUB;1
ZAR_SARBInterestRateDecision;20200319;14:00;SARB Interest Rate Decision;South Africa;ZAR;1
USD_CurrentAccount;20200319;12:30;Current Account;United States;USD;1
USD_JoblessClaims;20200319;12:30;Initial Jobless Claims;United States;USD;2
CAD_ADPEmploymentChange;20200319;12:30;ADP Employment Change;Canada;CAD;1
CAD_NewHousingPriceIndex;20200319;12:30;New Housing Price Index (YoY);Canada;CAD;1
USD_PhiladelphiaFedManufacturingSurvey;20200319;12:30;Philadelphia Fed Manufacturing Survey;United States;USD;2
TRY_CBRTInterestRateDecision;20200319;11:00;CBRT Interest Rate Decision;Turkey;TRY;1
EUR_EurConstructionOutput;20200319;10:00;Construction Output w.d.a (YoY);European Monetary Union;EUR;1
EUR_SpaAuction;20200319;09:40;10-y Obligaciones Auction;Spain;EUR;1
EUR_SloUnemploymentRate;20200319;09:00;Unemployment Rate;Slovakia;EUR;1
PLN_IndustrialOutput;20200319;09:00;Industrial Output (YoY);Poland;PLN;1
PLN_ProducerPriceIndex;20200319;09:00;Producer Price Index (YoY);Poland;PLN;1
CHF_SNBInterestRateDecision;20200319;08:30;SNB Interest Rate Decision;Switzerland;CHF;3
CHF_SNBMonetaryPolicyAssessment;20200319;08:30;SNB Monetary Policy Assessment;Switzerland;CHF;3
PHP_BSPInterestratedecision;20200319;08:00;BSP Interest rate decision;Philippines;PHP;1
TWD_CBC;20200319;08:00;CBC (Taiwan) Interest Rate Decision;Taiwan;TWD;1
CHF_TradeBalance;20200319;07:00;Trade Balance;Switzerland;CHF;1
CHF_Exports;20200319;07:00;Exports (MoM);Switzerland;CHF;1
CHF_Imports;20200319;07:00;Imports (MoM);Switzerland;CHF;1
IDR_BankIndonesiaRate;20200319;07:00;Bank Indonesia Rate;Indonesia;IDR;1
CHF_SECOEconomicForecasts;20200319;06:45;SECO Economic Forecasts;Switzerland;CHF;1
EUR_NetUnemploymentRate;20200319;05:30;Unemployment Rate s.a (3M);Netherlands, The;EUR;1
COP_SaintJoseph;20200319;05:00;Saint Joseph;Colombia;COP;0
AUD_CentralBankSpeech;20200319;05:00;RBA Governor Lowe speech;Australia;AUD;3
JPY_AllIndustryActivityIndex;20200319;04:30;All Industry Activity Index (MoM);Japan;JPY;2
AUD_RBARateStatement;20200319;03:30;RBA Rate Statement;Australia;AUD;3
AUD_RBAInterestRateDecision;20200319;03:30;RBA Interest Rate Decision;Australia;AUD;3
AUD_EmploymentChange;20200319;00:30;Employment Change s.a.;Australia;AUD;3
AUD_FulltimeEmployment;20200319;00:30;Fulltime Employment;Australia;AUD;2
AUD_PartTimeEmployment;20200319;00:30;Part-Time Employment;Australia;AUD;1
AUD_ParticipationRate;20200319;00:30;Participation Rate;Australia;AUD;1
AUD_UnemploymentRate;20200319;00:30;Unemployment Rate s.a.;Australia;AUD;3
AUD_RBABulletin;20200319;00:30;RBA Bulletin;Australia;AUD;2
