SEK_MidsummerDay;20210625;22:00;Midsummer Day;Sweden;SEK;0
EUR_FinMidsummerday;20210625;21:00;Midsummer day;Finland;EUR;0
AUD_CFTCAUDNCNetPositions;20210625;19:30;CFTC AUD NC Net Positions;Australia;AUD;1
EUR_EurCFTCEURNCNetPositions;20210625;19:30;CFTC EUR NC Net Positions;European Monetary Union;EUR;1
USD_CFTCS&P500NCNetPositions;20210625;19:30;CFTC S&P 500 NC Net Positions;United States;USD;1
USD_CFTCOilNCNetPositions;20210625;19:30;CFTC Oil NC Net Positions;United States;USD;1
USD_CFTCGoldNCNetPositions;20210625;19:30;CFTC Gold NC Net Positions;United States;USD;1
GBP_CFTCGBPNCNetPositions;20210625;19:30;CFTC GBP NC Net Positions;United Kingdom;GBP;1
JPY_CFTCJPYNCNetPositions;20210625;19:30;CFTC JPY NC Net Positions;Japan;JPY;1
USD_BakerHughesUSOilRigCount;20210625;17:00;Baker Hughes US Oil Rig Count;United States;USD;1
USD_CentralBankSpeech;20210625;17:00;Fed Rosengren speech;United States;USD;2
USD_MichiganConsumerSentimentIndex;20210625;14:00;Michigan Consumer Sentiment Index;United States;USD;2
BRL_CurrentAccount;20210625;12:30;Current Account;Brazil;BRL;1
USD_PersonalIncome;20210625;12:30;Personal Income (MoM);United States;USD;2
USD_CorePersonalConsumptionExpendituresPriceIndex;20210625;12:30;Core Personal Consumption Expenditures - Price Index (MoM);United States;USD;2
USD_PersonalConsumptionExpendituresPriceIndex;20210625;12:30;Personal Consumption Expenditures - Price Index (YoY);United States;USD;1
USD_PersonalSpending;20210625;12:30;Personal Spending;United States;USD;2
GBP_BoEQuarterlyBulletin;20210625;12:00;BoE Quarterly Bulletin;United Kingdom;GBP;1
BRL_MidmonthInflation;20210625;12:00;Mid-month Inflation;Brazil;BRL;1
INR_FXReservesUSD;20210625;11:30;FX Reserves, USD;India;INR;1
EUR_ItaTradeBalancenonEU;20210625;09:00;Trade Balance non-EU;Italy;EUR;1
EUR_ItaConsumerConfidence;20210625;08:00;Consumer Confidence;Italy;EUR;1
EUR_ItaBusinessConfidence;20210625;08:00;Business Confidence;Italy;EUR;1
EUR_EurPrivateLoans;20210625;08:00;Private Loans (YoY);European Monetary Union;EUR;1
EUR_EurM3MoneySupply;20210625;08:00;M3 Money Supply (3m);European Monetary Union;EUR;1
EUR_GerGfkConsumerConfidenceSurvey;20210625;06:00;Gfk Consumer Confidence Survey;Germany;EUR;2
DKK_RetailSales;20210625;06:00;Retail Sales (YoY);Denmark;DKK;1
SGD_IndustrialProduction;20210625;05:00;Industrial Production (MoM);Singapore;SGD;1
EUR_EurEuropeanCouncilMeeting;20210625;00:00;European Council Meeting;European Monetary Union;EUR;3
