ARS_TaxRevenue;20211001;20:00;Tax Revenue (MoM);Argentina;ARS;1
USD_CFTCS&P500NCNetPositions;20211001;19:30;CFTC S&P 500 NC Net Positions;United States;USD;1
GBP_CFTCGBPNCNetPositions;20211001;19:30;CFTC GBP NC Net Positions;United Kingdom;GBP;1
USD_CFTCGoldNCNetPositions;20211001;19:30;CFTC Gold NC Net Positions;United States;USD;1
JPY_CFTCJPYNCNetPositions;20211001;19:30;CFTC JPY NC Net Positions;Japan;JPY;1
USD_CFTCOilNCNetPositions;20211001;19:30;CFTC Oil NC Net Positions;United States;USD;1
AUD_CFTCAUDNCNetPositions;20211001;19:30;CFTC AUD NC Net Positions;Australia;AUD;1
EUR_EurCFTCEURNCNetPositions;20211001;19:30;CFTC EUR NC Net Positions;European Monetary Union;EUR;1
USD_TotalVehicleSales;20211001;19:30;Total Vehicle Sales;United States;USD;1
INR_MahatmaGandhiBirthday;20211001;18:30;Mahatma Gandhi Birthday ;India;INR;0
BRL_TradeBalance;20211001;18:00;Trade Balance;Brazil;BRL;1
USD_BakerHughesUSOilRigCount;20211001;17:00;Baker Hughes US Oil Rig Count;United States;USD;1
CNY_NationalDay;20211001;16:00;National Day;China;CNY;0
EUR_EurCentralBankSpeech;20211001;15:30;ECB Schnabel speech;European Monetary Union;EUR;2
USD_MichiganConsumerSentimentIndex;20211001;14:00;Michigan Consumer Sentiment Index;United States;USD;2
USD_ISMManufacturingEmploymentIndex;20211001;14:00;ISM Manufacturing Employment Index;United States;USD;2
USD_ISMManufacturingNewOrdersIndex;20211001;14:00;ISM Manufacturing New Orders Index;United States;USD;2
USD_ISMManufacturingPricesPaid;20211001;14:00;ISM Manufacturing Prices Paid;United States;USD;2
USD_ISMManufacturingPMI;20211001;14:00;ISM Manufacturing PMI;United States;USD;3
USD_ConstructionSpending;20211001;14:00;Construction Spending (MoM);United States;USD;1
USD_MarkitManufacturingPMI;20211001;13:45;Markit Manufacturing PMI;United States;USD;2
CAD_MarkitManufacturingPMI;20211001;13:30;Markit Manufacturing PMI;Canada;CAD;2
BRL_HSBCPMIManufacturing;20211001;13:00;HSBC PMI Manufacturing;Brazil;BRL;1
