JPY_JibunBankServicesPMI;20211203;00:30;Jibun Bank Services PMI;Japan;JPY;1
CNY_CaixinServicesPMI;20211203;01:45;Caixin Services PMI;China;CNY;2
RUB_PurchasingManagerIndexServices;20211203;06:00;Purchasing Manager Index Services;Russia;RUB;1
TRY_ProducerPriceIndex;20211203;07:00;Producer Price Index (YoY);Turkey;TRY;1
TRY_ConsumerPriceIndex;20211203;07:00;Consumer Price Index (YoY);Turkey;TRY;1
EUR_EurCentralBankSpeech;20211203;08:30;ECB President Lagarde speech;European Monetary Union;EUR;3
EUR_EurMarkitPMIComposite;20211203;09:00;Markit PMI Composite;European Monetary Union;EUR;2
EUR_EurMarkitServicesPMI;20211203;09:00;Markit Services PMI;European Monetary Union;EUR;1
NOK_RegisteredUnemployment;20211203;09:00;Registered Unemployment s.a;Norway;NOK;1
GBP_MarkitServicesPMI;20211203;09:30;Markit Services PMI;United Kingdom;GBP;1
EUR_EurRetailSales;20211203;10:00;Retail Sales (MoM);European Monetary Union;EUR;2
USD_UnemploymentRate;20211203;13:30;Unemployment Rate;United States;USD;2
USD_U6UnderemploymentRate;20211203;13:30;U6 Underemployment Rate;United States;USD;2
USD_LaborForceParticipationRate;20211203;13:30;Labor Force Participation Rate;United States;USD;2
USD_AverageHourlyEarnings;20211203;13:30;Average Hourly Earnings (MoM);United States;USD;2
USD_AverageWeeklyHours;20211203;13:30;Average Weekly Hours;United States;USD;1
USD_NonfarmPayrolls;20211203;13:30;Nonfarm Payrolls;United States;USD;3
CAD_LaborProductivity;20211203;13:30;Labor Productivity (QoQ);Canada;CAD;1
CAD_UnemploymentRate;20211203;13:30;Unemployment Rate;Canada;CAD;3
CAD_ParticipationRate;20211203;13:30;Participation Rate;Canada;CAD;2
CAD_NetChangeinEmployment;20211203;13:30;Net Change in Employment;Canada;CAD;3
CAD_AverageHourlyWages;20211203;13:30;Average Hourly Wages (YoY);Canada;CAD;2
USD_MarkitPMIComposite;20211203;14:45;Markit PMI Composite;United States;USD;2
USD_MarkitServicesPMI;20211203;14:45;Markit Services PMI;United States;USD;2
USD_ISMServicesEmploymentIndex;20211203;15:00;ISM Services Employment Index;United States;USD;2
USD_ISMServicesPricesPaid;20211203;15:00;ISM Services Prices Paid;United States;USD;2
USD_ISMServicesNewOrdersIndex;20211203;15:00;ISM Services New Orders Index;United States;USD;2
USD_ISMServicesPMI;20211203;15:00;ISM Services PMI;United States;USD;3
USD_FactoryOrders;20211203;15:00;Factory Orders (MoM);United States;USD;2
RUB_UnemploymentRate;20211203;16:00;Unemployment Rate;Russia;RUB;1
