AUD_CentralBankSpeech;20220222;01:00;RBA Kent speech;Australia;AUD;2
NZD_CreditCardSpending;20220222;02:00;Credit Card Spending (YoY);New Zealand;NZD;1
TRY_ManufacturingConfidence;20220222;07:00;Manufacturing Confidence;Turkey;TRY;1
TRY_CapacityUtilization;20220222;07:00;Capacity Utilization;Turkey;TRY;1
GBP_PublicSectorNetBorrowing;20220222;07:00;Public Sector Net Borrowing;United Kingdom;GBP;1
GBP_CentralBankSpeech;20220222;10:45;BoE Ramsden speech;United Kingdom;GBP;2
PLN_M3MoneySupply;20220222;13:00;M3 Money Supply (YoY);Poland;PLN;1
HUF_MNBInterestRateDecision;20220222;13:00;MNB Interest Rate Decision;Hungary;HUF;1
USD_S&PCaseShillerHomePriceIndices;20220222;14:00;S&P/Case-Shiller Home Price Indices (YoY);United States;USD;2
USD_HousingPriceIndex;20220222;14:00;Housing Price Index (MoM);United States;USD;2
USD_MarkitServicesPMI;20220222;14:45;Markit Services PMI;United States;USD;2
USD_MarkitPMIComposite;20220222;14:45;Markit PMI Composite;United States;USD;2
USD_MarkitManufacturingPMI;20220222;14:45;Markit Manufacturing PMI;United States;USD;2
USD_ConsumerConfidence;20220222;15:00;Consumer Confidence;United States;USD;2
USD_RichmondFedManufacturingIndex;20220222;15:00;Richmond Fed Manufacturing Index;United States;USD;1
JPY_TheEmperorBirthday;20220222;15:00;The Emperor Birthday;Japan;JPY;0
USD_Auction;20220222;18:00;2-Year Note Auction;United States;USD;1
RUB_DefenceoftheFatherland;20220222;21:00;Defence of the Fatherland;Russia;RUB;0
