CHF_EmploymentLevel;20220902;06:30;Employment Level (QoQ);Switzerland;CHF;1
BRL_FipeIPCInflation;20220902;08:00;Fipe IPC Inflation;Brazil;BRL;1
NOK_RegisteredUnemployment;20220902;08:00;Registered Unemployment n.s.a;Norway;NOK;1
EUR_EurProducerPriceIndex;20220902;09:00;Producer Price Index (MoM);European Monetary Union;EUR;1
INR_FXReservesUSD;20220902;11:30;FX Reserves, USD;India;INR;1
BRL_IndustrialOutput;20220902;12:00;Industrial Output (MoM);Brazil;BRL;1
USD_LaborForceParticipationRate;20220902;12:30;Labor Force Participation Rate;United States;USD;2
USD_AverageHourlyEarnings;20220902;12:30;Average Hourly Earnings (MoM);United States;USD;2
USD_UnemploymentRate;20220902;12:30;Unemployment Rate;United States;USD;2
USD_U6UnderemploymentRate;20220902;12:30;U6 Underemployment Rate;United States;USD;2
USD_AverageWeeklyHours;20220902;12:30;Average Weekly Hours;United States;USD;1
USD_NonfarmPayrolls;20220902;12:30;Nonfarm Payrolls;United States;USD;3
CAD_LaborProductivity;20220902;12:30;Labor Productivity (QoQ);Canada;CAD;1
USD_FactoryOrders;20220902;14:00;Factory Orders (MoM);United States;USD;2
DKK_CurrencyReserves;20220902;15:00;Currency Reserves;Denmark;DKK;1
USD_BakerHughesUSOilRigCount;20220902;17:00;Baker Hughes US Oil Rig Count;United States;USD;1
USD_CFTCS&P500NCNetPositions;20220902;19:30;CFTC S&P 500 NC Net Positions;United States;USD;1
USD_CFTCOilNCNetPositions;20220902;19:30;CFTC Oil NC Net Positions;United States;USD;1
USD_CFTCGoldNCNetPositions;20220902;19:30;CFTC Gold NC Net Positions;United States;USD;1
USD_TotalVehicleSales;20220902;19:30;Total Vehicle Sales;United States;USD;1
GBP_CFTCGBPNCNetPositions;20220902;19:30;CFTC GBP NC Net Positions;United Kingdom;GBP;1
JPY_CFTCJPYNCNetPositions;20220902;19:30;CFTC JPY NC Net Positions;Japan;JPY;1
EUR_EurCFTCEURNCNetPositions;20220902;19:30;CFTC EUR NC Net Positions;European Monetary Union;EUR;1
AUD_CFTCAUDNCNetPositions;20220902;19:30;CFTC AUD NC Net Positions;Australia;AUD;1
