DKK_RetailSales;20220927;06:00;Retail Sales (YoY);Denmark;DKK;1
SEK_ProducerPriceIndex;20220927;06:00;Producer Price Index (YoY);Sweden;SEK;1
SEK_TradeBalance;20220927;06:00;Trade Balance (MoM);Sweden;SEK;1
EUR_EurM3MoneySupply;20220927;08:00;M3 Money Supply (YoY);European Monetary Union;EUR;1
EUR_EurPrivateLoans;20220927;08:00;Private Loans (YoY);European Monetary Union;EUR;1
MXN_JoblessRate;20220927;11:00;Jobless Rate;Mexico;MXN;1
MXN_TradeBalancesa;20220927;11:00;Trade Balance s/a, $;Mexico;MXN;1
MXN_TradeBalance;20220927;11:00;Trade Balance, $;Mexico;MXN;1
BRL_MidmonthInflation;20220927;12:00;Mid-month Inflation;Brazil;BRL;1
HUF_MNBInterestRateDecision;20220927;12:00;MNB Interest Rate Decision;Hungary;HUF;1
USD_DurableGoodsOrders;20220927;12:30;Durable Goods Orders ex Transportation;United States;USD;2
USD_NondefenseCapitalGoodsOrdersexAircraft;20220927;12:30;Nondefense Capital Goods Orders ex Aircraft;United States;USD;3
USD_RedbookIndex;20220927;12:55;Redbook Index (YoY);United States;USD;1
USD_S&PCaseShillerHomePriceIndices;20220927;13:00;S&P/Case-Shiller Home Price Indices (YoY);United States;USD;2
USD_HousingPriceIndex;20220927;13:00;Housing Price Index (MoM);United States;USD;2
EUR_EurCentralBankSpeech;20220927;13:00;ECB De Guindos speech;European Monetary Union;EUR;2
USD_ConsumerConfidence;20220927;14:00;Consumer Confidence;United States;USD;2
USD_NewHomeSalesChange;20220927;14:00;New Home Sales Change (MoM);United States;USD;1
USD_NewHomeSales;20220927;14:00;New Home Sales (MoM);United States;USD;2
USD_RichmondFedManufacturingIndex;20220927;14:00;Richmond Fed Manufacturing Index;United States;USD;1
COP_NationalJoblessRate;20220927;15:00;National Jobless Rate;Colombia;COP;1
USD_Auction;20220927;17:00;5-Year Note Auction;United States;USD;1
USD_APIWeeklyCrudeOilStock;20220927;20:30;API Weekly Crude Oil Stock;United States;USD;1
CZK_StWenceslasDay;20220927;22:00;St Wenceslas Day ;Czech Republic;CZK;0
GBP_BRCShopPriceIndex;20220927;23:01;BRC Shop Price Index (YoY);United Kingdom;GBP;1
JPY_BoJMonetaryPolicyMeetingMinutes;20220927;23:50;BoJ Monetary Policy Meeting Minutes;Japan;JPY;3
