AUD_MidYearEconomicandFiscalOutlook;20221219;01:30;Mid-Year Economic and Fiscal Outlook;Australia;AUD;2
EUR_EurLaborCost;20221219;10:00;Labor Cost;European Monetary Union;EUR;2
EUR_EurConstructionOutput;20221219;10:00;Construction Output  s.a (MoM);European Monetary Union;EUR;1
ILS_IndustrialProduction;20221219;11:00;Industrial Production (MoM);Israel;ILS;1
CAD_RawMaterialPriceIndex;20221219;13:30;Raw Material Price Index;Canada;CAD;1
CAD_IndustrialProductPrice;20221219;13:30;Industrial Product Price (MoM);Canada;CAD;1
USD_NAHBHousingMarketIndex;20221219;15:00;NAHB Housing Market Index;United States;USD;1
USD_Auction;20221219;16:30;3-Month Bill Auction;United States;USD;1
NZD_WestpacConsumerSurvey;20221219;20:00;Westpac Consumer Survey;New Zealand;NZD;2
NZD_Exports;20221219;21:45;Exports;New Zealand;NZD;2
NZD_TradeBalanceNZD;20221219;21:45;Trade Balance NZD (MoM);New Zealand;NZD;1
NZD_Imports;20221219;21:45;Imports;New Zealand;NZD;2
