GBP_BRCShopPriceIndex;20221228;00:01;BRC Shop Price Index (YoY);United Kingdom;GBP;1
SEK_TradeBalance;20221228;07:00;Trade Balance (MoM);Sweden;SEK;1
CHF_ZEWSurvey–Expectations;20221228;09:00;ZEW Survey – Expectations;Switzerland;CHF;2
INR_TradeDeficit–RBI;20221228;11:30;Trade Deficit – RBI;India;INR;1
INR_M3MoneySupply;20221228;11:30;M3 Money Supply;India;INR;1
USD_MBAMortgageApplications;20221228;12:00;MBA Mortgage Applications;United States;USD;1
BRL_UnemploymentRate;20221228;12:00;Unemployment Rate;Brazil;BRL;1
MXN_JoblessRate;20221228;12:00;Jobless Rate s.a;Mexico;MXN;1
ZAR_TradeBalance;20221228;12:00;Trade Balance (in Rands);South Africa;ZAR;1
USD_RedbookIndex;20221228;13:55;Redbook Index (YoY);United States;USD;1
USD_PendingHomeSales;20221228;15:00;Pending Home Sales (MoM);United States;USD;2
USD_RichmondFedManufacturingIndex;20221228;15:00;Richmond Fed Manufacturing Index;United States;USD;1
USD_EIACrudeOilStocksChange;20221228;15:30;EIA Crude Oil Stocks Change;United States;USD;1
RUB_UnemploymentRate;20221228;16:00;Unemployment Rate;Russia;RUB;1
RUB_IndustrialOutput;20221228;16:00;Industrial Output;Russia;RUB;1
USD_Auction;20221228;18:00;5-Year Note Auction;United States;USD;1
USD_APIWeeklyCrudeOilStock;20221228;21:30;API Weekly Crude Oil Stock;United States;USD;1
KRW_IndustrialOutput;20221228;23:00;Industrial Output (YoY);South Korea;KRW;1
KRW_ServiceSectorOutput;20221228;23:00;Service Sector Output;South Korea;KRW;1
KRW_IndustrialOutputGrowth;20221228;23:00;Industrial Output Growth;South Korea;KRW;1
