NZD_RBNZInflationExpectations;20231108;02:00;RBNZ Inflation Expectations (QoQ);New Zealand;NZD;3
JPY_LeadingEconomicIndex;20231108;05:00;Leading Economic Index;Japan;JPY;1
JPY_CoincidentIndex;20231108;05:00;Coincident Index;Japan;JPY;1
EUR_GerConsumerPriceIndex;20231108;07:00;Consumer Price Index (YoY);Germany;EUR;1
EUR_GerHarmonizedIndexofConsumerPrices;20231108;07:00;Harmonized Index of Consumer Prices (YoY);Germany;EUR;3
EUR_EurEurogroupMeeting;20231108;07:00;Eurogroup Meeting;European Monetary Union;EUR;1
HUF_RetailSales;20231108;07:30;Retail Sales (YoY);Hungary;HUF;1
HUF_TradeBalance;20231108;07:30;Trade Balance;Hungary;HUF;1
EUR_FraExportsEUR;20231108;07:45;Exports, EUR;France;EUR;1
EUR_FraTradeBalanceEUR;20231108;07:45;Trade Balance EUR;France;EUR;1
EUR_FraImportsEUR;20231108;07:45;Imports, EUR;France;EUR;1
EUR_FraCurrentAccount;20231108;07:45;Current Account;France;EUR;1
TRY_Exports;20231108;08:00;Exports;Turkey;TRY;1
CZK_UnemploymentRate;20231108;08:00;Unemployment Rate;Czech Republic;CZK;1
EUR_ItaRetailSales;20231108;09:00;Retail Sales n.s.a (YoY);Italy;EUR;1
GBP_CentralBankSpeech;20231108;09:30;BoE Governor Bailey speech;United Kingdom;GBP;3
EUR_EurRetailSales;20231108;10:00;Retail Sales (MoM);European Monetary Union;EUR;2
EUR_GerAuction;20231108;10:30;10-y Bond Auction;Germany;EUR;2
USD_MBAMortgageApplications;20231108;12:00;MBA Mortgage Applications;United States;USD;1
BRL_RetailSales;20231108;12:00;Retail Sales (MoM);Brazil;BRL;1
CLP_ConsumerPriceIndex;20231108;12:00;Core Consumer Price Index (Inflation) (MoM);Chile;CLP;1
BRL_PrimaryBudgetSurplus;20231108;12:30;Primary Budget Surplus;Brazil;BRL;1
BRL_NominalBudgetBalance;20231108;12:30;Nominal Budget Balance;Brazil;BRL;1
CAD_BuildingPermits;20231108;12:30;Building Permits (MoM);Canada;CAD;1
PLN_NBPBaserate;20231108;13:00;NBP Base rate;Poland;PLN;1
RON_Interestratedecision;20231108;13:00;Interest rate decision;Romania;RON;1
USD_IBDTIPPEconomicOptimism;20231108;14:00;IBD/TIPP Economic Optimism (MoM);United States;USD;1
USD_CentralBankSpeech;20231108;14:15;Fed Chair Powell speech;United States;USD;3
USD_WholesaleInventories;20231108;15:00;Wholesale Inventories;United States;USD;1
USD_EIACrudeOilStocksChange;20231108;15:30;EIA Crude Oil Stocks Change;United States;USD;1
USD_Auction;20231108;18:00;10-Year Note Auction;United States;USD;1
COP_ConsumerPriceIndex;20231108;23:00;Consumer Price Index (YoY);Colombia;COP;1
JPY_BankLending;20231108;23:50;Bank Lending (YoY);Japan;JPY;1
JPY_BoJSummaryofOpinions;20231108;23:50;BoJ Summary of Opinions;Japan;JPY;1
JPY_ForeignInvestmentinJapanStocks;20231108;23:50;Foreign Investment in Japan Stocks;Japan;JPY;1
JPY_ForeignBondInvestment;20231108;23:50;Foreign Bond Investment;Japan;JPY;1
JPY_CurrentAccount;20231108;23:50;Current Account n.s.a.;Japan;JPY;2
JPY_TradeBalanceBOPBasis;20231108;23:50;Trade Balance - BOP Basis;Japan;JPY;1
