AUD_ConsumerPriceIndex;20240110;00:30;Monthly Consumer Price Index (YoY);Australia;AUD;3
JPY_Auction;20240110;03:35;10-y Bond Auction;Japan;JPY;1
TRY_UnemploymentRate;20240110;07:00;Unemployment Rate;Turkey;TRY;1
TRY_IndustrialProduction;20240110;07:00;Industrial Production (YoY);Turkey;TRY;1
DKK_ConsumerPriceIndex;20240110;07:00;Consumer Price Index (YoY);Denmark;DKK;1
DKK_Inflation;20240110;07:00;Inflation (HICP) (YoY);Denmark;DKK;1
DKK_IndustrialProduction;20240110;07:00;Industrial Production (MoM);Denmark;DKK;1
NOK_CoreInflation;20240110;07:00;Core Inflation (MoM);Norway;NOK;1
NOK_ConsumerPriceIndex;20240110;07:00;Consumer Price Index (MoM);Norway;NOK;1
NOK_ProducerPriceIndex;20240110;07:00;Producer Price Index (YoY);Norway;NOK;1
SEK_RetailSales;20240110;07:00;Retail Sales (MoM);Sweden;SEK;1
SEK_IndustrialProductionValue;20240110;07:00;Industrial Production Value (MoM);Sweden;SEK;1
SEK_NewOrdersManufacturing;20240110;07:00;New Orders Manufacturing (YoY);Sweden;SEK;1
EUR_FraIndustrialOutput;20240110;07:45;Industrial Output (MoM);France;EUR;1
EUR_EurCentralBankSpeech;20240110;08:20;ECB De Guindos speech;Eurozone;EUR;2
CNY_FDIForeignDirectInvestment;20240110;09:00;FDI - Foreign Direct Investment (YTD) (YoY);China;CNY;1
CNY_M2MoneySupply;20240110;10:00;M2 Money Supply (YoY);China;CNY;1
CNY_NewLoans;20240110;10:00;New Loans;China;CNY;1
EUR_GerAuction;20240110;10:30;10-y Bond Auction;Germany;EUR;1
ILS_BudgetBalanceILS;20240110;11:00;Budget Balance - ILS;Israel;ILS;1
INR_M3MoneySupply;20240110;11:30;M3 Money Supply;India;INR;1
USD_MBAMortgageApplications;20240110;12:00;MBA Mortgage Applications;United States;USD;1
USD_WholesaleInventories;20240110;15:00;Wholesale Inventories;United States;USD;1
GBP_CentralBankSpeech;20240110;15:15;BoE Governor Bailey speech;United Kingdom;GBP;2
USD_EIACrudeOilStocksChange;20240110;15:30;EIA Crude Oil Stocks Change;United States;USD;1
USD_Auction;20240110;18:00;10-Year Note Auction;United States;USD;1
USD_CentralBankSpeech;20240110;20:15;Fed Williams speech;United States;USD;2
NZD_BuildingPermits;20240110;21:45;Building Permits s.a. (MoM);New Zealand;NZD;2
JPY_JPForeignReserves;20240110;23:50;JP Foreign Reserves;Japan;JPY;1
