KRW_MoneySupplyGrowth;20240216;03:00;Money Supply Growth;South Korea;KRW;1
IDR_RetailSales;20240216;04:00;Retail Sales (YoY);Indonesia;IDR;1
JPY_TertiaryIndustryIndex;20240216;04:30;Tertiary Industry Index (MoM);Japan;JPY;1
EUR_GerWholesalePriceIndex;20240216;07:00;Wholesale Price Index (YoY);Germany;EUR;1
GBP_RetailSales;20240216;07:00;Retail Sales (MoM);United Kingdom;GBP;3
SEK_UnemploymentRate;20240216;07:00;Unemployment Rate;Sweden;SEK;1
CHF_IndustrialProduction;20240216;07:30;Industrial Production (YoY);Switzerland;CHF;2
EUR_FraConsumerPriceIndex;20240216;07:45;Consumer Price Index (EU norm) (MoM);France;EUR;1
EUR_FraInflationextobacco;20240216;07:45;Inflation ex-tobacco (MoM);France;EUR;1
EUR_EurCentralBankSpeech;20240216;08:45;ECB Schnabel speech;Eurozone;EUR;2
RUB_Interestratedecision;20240216;10:30;Interest rate decision;Russia;RUB;2
INR_FXReservesUSD;20240216;11:30;FX Reserves, USD;India;INR;1
PLN_NetInflation;20240216;13:00;Net Inflation;Poland;PLN;1
USD_HousingStarts;20240216;13:30;Housing Starts (MoM);United States;USD;2
USD_BuildingPermits;20240216;13:30;Building Permits (MoM);United States;USD;2
USD_BuildingPermitsChange;20240216;13:30;Building Permits Change;United States;USD;1
USD_HousingStartsChange;20240216;13:30;Housing Starts Change;United States;USD;1
USD_ProducerPriceIndex;20240216;13:30;Producer Price Index (MoM);United States;USD;2
CAD_ForeignPortfolioInvestmentinCanadianSecurities;20240216;13:30;Foreign Portfolio Investment in Canadian Securities;Canada;CAD;1
CAD_CanadianPortfolioInvestmentinForeignSecurities;20240216;13:30;Canadian Portfolio Investment in Foreign Securities;Canada;CAD;1
CAD_WholesaleSales;20240216;13:30;Wholesale Sales (MoM);Canada;CAD;1
USD_UoM5yearConsumerInflationExpectation;20240216;15:00;UoM 5-year Consumer Inflation Expectation;United States;USD;2
USD_MichiganConsumerSentimentIndex;20240216;15:00;Michigan Consumer Sentiment Index;United States;USD;3
USD_CentralBankSpeech;20240216;17:10;Fed Daly speech;United States;USD;2
USD_BakerHughesUSOilRigCount;20240216;18:00;Baker Hughes US Oil Rig Count;United States;USD;1
GBP_CentralBankSpeech;20240216;19:40;BoE Pill speech;United Kingdom;GBP;2
USD_CFTCOilNCNetPositions;20240216;20:30;CFTC Oil NC Net Positions;United States;USD;1
USD_CFTCGoldNCNetPositions;20240216;20:30;CFTC Gold NC Net Positions;United States;USD;1
USD_CFTCS&P500NCNetPositions;20240216;20:30;CFTC S&P 500 NC Net Positions;United States;USD;1
GBP_CFTCGBPNCNetPositions;20240216;20:30;CFTC GBP NC Net Positions;United Kingdom;GBP;1
JPY_CFTCJPYNCNetPositions;20240216;20:30;CFTC JPY NC Net Positions;Japan;JPY;1
EUR_EurCFTCEURNCNetPositions;20240216;20:30;CFTC EUR NC Net Positions;Eurozone;EUR;1
AUD_CFTCAUDNCNetPositions;20240216;20:30;CFTC AUD NC Net Positions;Australia;AUD;1
