AUD_GrossDomesticProduct;20240306;00:30;Gross Domestic Product (QoQ);Australia;AUD;3
EUR_GerExports;20240306;07:00;Exports (MoM);Germany;EUR;1
EUR_GerImports;20240306;07:00;Imports (MoM);Germany;EUR;1
EUR_GerTradeBalance;20240306;07:00;Trade Balance s.a.;Germany;EUR;2
NOK_CurrentAccount;20240306;07:00;Current Account;Norway;NOK;1
SEK_CurrentAccount;20240306;07:00;Current Account (QoQ);Sweden;SEK;1
HUF_IndustrialOutput;20240306;07:30;Industrial Output (YoY);Hungary;HUF;1
HUF_RetailSales;20240306;07:30;Retail Sales (YoY);Hungary;HUF;1
HUF_TradeBalance;20240306;07:30;Trade Balance;Hungary;HUF;1
GBP_S&PGlobalCIPSConstructionPMI;20240306;09:30;S&P Global/CIPS Construction PMI;United Kingdom;GBP;1
EUR_EurRetailSales;20240306;10:00;Retail Sales (YoY);Eurozone;EUR;3
INR_M3MoneySupply;20240306;11:30;M3 Money Supply;India;INR;1
USD_MBAMortgageApplications;20240306;12:00;MBA Mortgage Applications;United States;USD;1
BRL_IndustrialOutput;20240306;12:00;Industrial Output (MoM);Brazil;BRL;1
MXN_ConsumerConfidence;20240306;12:00;Consumer Confidence;Mexico;MXN;1
BRL_CurrentAccount;20240306;12:30;Current Account;Brazil;BRL;1
GBP_BudgetReport;20240306;12:30;Budget Report;United Kingdom;GBP;2
PLN_NBPBaserate;20240306;13:00;NBP Base rate;Poland;PLN;1
USD_ADPEmploymentChange;20240306;13:15;ADP Employment Change;United States;USD;3
CAD_LaborProductivity;20240306;13:30;Labor Productivity (QoQ);Canada;CAD;1
CAD_BoCInterestRateDecision;20240306;14:45;BoC Interest Rate Decision;Canada;CAD;3
CAD_BoCMonetaryPolicyStatement;20240306;14:45;BoC Monetary Policy Statement;Canada;CAD;3
USD_JOLTSJobOpenings;20240306;15:00;JOLTS Job Openings;United States;USD;2
USD_FedChairPowelltestifies;20240306;15:00;Fed Chair Powell testifies;United States;USD;3
USD_WholesaleInventories;20240306;15:00;Wholesale Inventories;United States;USD;1
CAD_IveyPurchasingManagersIndex;20240306;15:00;Ivey Purchasing Managers Index s.a;Canada;CAD;2
USD_EIACrudeOilStocksChange;20240306;15:30;EIA Crude Oil Stocks Change;United States;USD;1
CAD_BoCPressConference;20240306;15:30;BoC Press Conference;Canada;CAD;3
BRL_TradeBalance;20240306;18:00;Trade Balance;Brazil;BRL;1
USD_FedBeigeBook;20240306;19:00;Fed Beige Book;United States;USD;2
USD_CentralBankSpeech;20240306;21:15;Fed Kashkari speech;United States;USD;2
NZD_ManufacturingSales;20240306;21:45;Manufacturing Sales;New Zealand;NZD;1
JPY_ForeignBondInvestment;20240306;23:50;Foreign Bond Investment;Japan;JPY;1
JPY_ForeignInvestmentinJapanStocks;20240306;23:50;Foreign Investment in Japan Stocks;Japan;JPY;1
