BRL_GoodFriday;20240329;03:00;Good Friday ;Brazil;BRL;0
CLP_GoodFriday;20240329;04:00;Good Friday;Chile;CLP;0
USD_GoodFriday;20240329;05:00;Good Friday;United States;USD;0
COP_Goodfriday;20240329;05:00;Good friday;Colombia;COP;0
JPY_HousingStarts;20240329;05:00;Housing Starts (YoY);Japan;JPY;1
JPY_ConstructionOrders;20240329;05:00;Construction Orders (YoY);Japan;JPY;1
JPY_AnnualizedHousingStarts;20240329;05:00;Annualized Housing Starts;Japan;JPY;1
CAD_GoodFriday;20240329;05:00;Good Friday;Canada;CAD;0
MXN_GoodFriday;20240329;06:00;Good Friday ;Mexico;MXN;0
TRY_TradeBalance;20240329;07:00;Trade Balance;Turkey;TRY;1
EUR_FraProducerPrices;20240329;07:45;Producer Prices (MoM);France;EUR;1
EUR_FraConsumerPriceIndex;20240329;07:45;Consumer Price Index (EU norm) (MoM);France;EUR;1
EUR_FraConsumerSpending;20240329;07:45;Consumer Spending (MoM);France;EUR;1
EUR_ItaConsumerPriceIndex;20240329;10:00;Consumer Price Index (YoY);Italy;EUR;2
INR_FederalFiscalDeficitINR;20240329;10:00;Federal Fiscal Deficit, INR;India;INR;1
INR_TradeDeficit–RBI;20240329;11:30;Trade Deficit – RBI;India;INR;1
INR_BalancePayment;20240329;11:30;Balance Payment $;India;INR;1
INR_FXReservesUSD;20240329;11:30;FX Reserves, USD;India;INR;1
INR_InfrastructureOutput;20240329;12:00;Infrastructure Output (YoY);India;INR;1
USD_CorePersonalConsumptionExpendituresPriceIndex;20240329;12:30;Core Personal Consumption Expenditures - Price Index (YoY);United States;USD;3
USD_PersonalSpending;20240329;12:30;Personal Spending;United States;USD;2
USD_PersonalConsumptionExpendituresPriceIndex;20240329;12:30;Personal Consumption Expenditures - Price Index (MoM);United States;USD;2
USD_PersonalIncome;20240329;12:30;Personal Income (MoM);United States;USD;2
USD_WholesaleInventories;20240329;12:30;Wholesale Inventories;United States;USD;1
USD_GoodsTradeBalance;20240329;12:30;Goods Trade Balance;United States;USD;1
USD_CentralBankSpeech;20240329;15:30;Fed Chair Powell speech;United States;USD;3
USD_CFTCGoldNCNetPositions;20240329;20:30;CFTC Gold NC Net Positions;United States;USD;1
USD_CFTCOilNCNetPositions;20240329;20:30;CFTC Oil NC Net Positions;United States;USD;1
USD_CFTCS&P500NCNetPositions;20240329;20:30;CFTC S&P 500 NC Net Positions;United States;USD;1
GBP_CFTCGBPNCNetPositions;20240329;20:30;CFTC GBP NC Net Positions;United Kingdom;GBP;1
JPY_CFTCJPYNCNetPositions;20240329;20:30;CFTC JPY NC Net Positions;Japan;JPY;1
EUR_EurCFTCEURNCNetPositions;20240329;20:30;CFTC EUR NC Net Positions;Eurozone;EUR;1
AUD_CFTCAUDNCNetPositions;20240329;20:30;CFTC AUD NC Net Positions;Australia;AUD;1
MXN_FiscalBalancepesos;20240329;21:00;Fiscal Balance, pesos;Mexico;MXN;1
