AUD_RetailSales;20240509;01:30;Retail Sales (QoQ);Australia;AUD;2
CNY_Imports;20240509;03:00;Imports (YoY) CNY;China;CNY;2
CNY_TradeBalanceUSD;20240509;03:00;Trade Balance USD;China;CNY;2
CNY_Exports;20240509;03:00;Exports (YoY) CNY;China;CNY;2
CNY_TradeBalanceCNY;20240509;03:00;Trade Balance CNY;China;CNY;2
JPY_CoincidentIndex;20240509;05:00;Coincident Index;Japan;JPY;1
JPY_LeadingEconomicIndex;20240509;05:00;Leading Economic Index;Japan;JPY;1
JPY_MachineToolOrders;20240509;06:00;Machine Tool Orders (YoY);Japan;JPY;1
CZK_UnemploymentRate;20240509;07:00;Unemployment Rate;Czech Republic;CZK;1
CZK_RetailSales;20240509;07:00;Retail Sales (YoY);Czech Republic;CZK;1
HUF_BudgetBalance;20240509;09:00;Budget Balance;Hungary;HUF;1
TRY_CBRTQuarterlyInflationReport;20240509;11:00;CBRT Quarterly Inflation Report;Turkey;TRY;1
ZAR_ManufacturingProductionIndex;20240509;11:00;Manufacturing Production Index (YoY);South Africa;ZAR;1
GBP_BoEAssetPurchaseFacility;20240509;11:00;BoE Asset Purchase Facility;United Kingdom;GBP;3
GBP_BoEInterestRateDecision;20240509;11:00;BoE Interest Rate Decision;United Kingdom;GBP;3
GBP_MonetaryPolicyReport;20240509;11:00;Monetary Policy Report;United Kingdom;GBP;3
GBP_BoEMonetaryPolicyReport;20240509;11:00;BoE Monetary Policy Report;United Kingdom;GBP;3
GBP_BoEMPCVoteRateUnchanged;20240509;11:00;BoE MPC Vote Rate Unchanged;United Kingdom;GBP;3
GBP_BoEMPCVoteRateCut;20240509;11:00;BoE MPC Vote Rate Cut;United Kingdom;GBP;3
GBP_BoEMPCVoteRateHike;20240509;11:00;BoE MPC Vote Rate Hike;United Kingdom;GBP;3
GBP_BoEMinutes;20240509;11:00;BoE Minutes;United Kingdom;GBP;3
MXN_CoreInflation;20240509;12:00;Core Inflation;Mexico;MXN;1
MXN_HeadlineInflation;20240509;12:00;Headline Inflation;Mexico;MXN;2
MXN_12MonthInflation;20240509;12:00;12-Month Inflation;Mexico;MXN;1
EUR_EurCentralBankSpeech;20240509;12:15;ECB Cipollone speech;Eurozone;EUR;2
USD_JoblessClaims;20240509;12:30;Initial Jobless Claims;United States;USD;2
PLN_NBPBaserate;20240509;13:00;NBP Base rate;Poland;PLN;1
RUB_CentralBankReserves;20240509;13:00;Central Bank Reserves $;Russia;RUB;1
CAD_FinancialSystemReview;20240509;14:00;Financial System Review;Canada;CAD;1
USD_EIANaturalGasStorageChange;20240509;14:30;EIA Natural Gas Storage Change;United States;USD;1
CAD_CentralBankSpeech;20240509;15:00;BoC Governor Macklem speech;Canada;CAD;3
GBP_CentralBankSpeech;20240509;16:15;BoE Pill speech;United Kingdom;GBP;2
USD_Auction;20240509;17:00;30-Year Bond Auction;United States;USD;1
USD_CentralBankSpeech;20240509;18:00;Fed Daly speech;United States;USD;2
MXN_CentralBankInterestRate;20240509;19:00;Central Bank Interest Rate;Mexico;MXN;2
RUB_Bridgeholiday;20240509;21:00;Bridge holiday;Russia;RUB;0
NZD_BusinessNZPMI;20240509;22:30;Business NZ PMI;New Zealand;NZD;2
JPY_LaborCashEarnings;20240509;23:30;Labor Cash Earnings (YoY);Japan;JPY;2
JPY_OverallHouseholdSpending;20240509;23:30;Overall Household Spending (YoY);Japan;JPY;1
JPY_BankLending;20240509;23:50;Bank Lending (YoY);Japan;JPY;1
JPY_ForeignBondInvestment;20240509;23:50;Foreign Bond Investment;Japan;JPY;1
JPY_ForeignInvestmentinJapanStocks;20240509;23:50;Foreign Investment in Japan Stocks;Japan;JPY;1
JPY_TradeBalanceBOPBasis;20240509;23:50;Trade Balance - BOP Basis;Japan;JPY;1
JPY_CurrentAccount;20240509;23:50;Current Account n.s.a.;Japan;JPY;2
