CLP_OurLadyofMountCarmel;20240716;04:00;Our Lady of Mount Carmel;Chile;CLP;0
JPY_TertiaryIndustryIndex;20240716;04:30;Tertiary Industry Index (MoM);Japan;JPY;1
EUR_FraCurrentAccount;20240716;06:45;Current Account;France;EUR;1
EUR_EurEurogroupMeeting;20240716;07:00;Eurogroup Meeting;Eurozone;EUR;2
EUR_EurEcoFinMeeting;20240716;07:00;EcoFin Meeting;Eurozone;EUR;2
EUR_ItaConsumerPriceIndex;20240716;08:00;Consumer Price Index (YoY);Italy;EUR;2
TRY_BudgetBalance;20240716;08:00;Budget Balance;Turkey;TRY;1
EUR_EurECBBankLendingSurvey;20240716;08:00;ECB Bank Lending Survey;Eurozone;EUR;3
EUR_GerZEWSurvey–CurrentSituation;20240716;09:00;ZEW Survey – Current Situation;Germany;EUR;2
EUR_GerZEWSurvey–EconomicSentiment;20240716;09:00;ZEW Survey – Economic Sentiment;Germany;EUR;2
EUR_ItaGlobalTradeBalance;20240716;09:00;Global Trade Balance;Italy;EUR;1
EUR_ItaTradeBalanceEU;20240716;09:00;Trade Balance EU;Italy;EUR;1
EUR_EurTradeBalance;20240716;09:00;Trade Balance s.a.;Eurozone;EUR;1
EUR_EurZEWSurvey–EconomicSentiment;20240716;09:00;ZEW Survey – Economic Sentiment;Eurozone;EUR;2
ILS_GrossDomesticProduct;20240716;10:00;Gross Domestic Product (QoQ);Israel;ILS;1
PLN_NetInflation;20240716;12:00;Net Inflation;Poland;PLN;1
CAD_HousingStarts;20240716;12:15;Housing Starts s.a (YoY);Canada;CAD;1
USD_RetailSales;20240716;12:30;Retail Sales Control Group;United States;USD;3
USD_ImportPriceIndex;20240716;12:30;Import Price Index (MoM);United States;USD;1
USD_ExportPriceIndex;20240716;12:30;Export Price Index (MoM);United States;USD;1
CAD_ConsumerPriceIndex;20240716;12:30;Consumer Price Index (MoM);Canada;CAD;2
USD_RedbookIndex;20240716;12:55;Redbook Index (YoY);United States;USD;1
USD_BusinessInventories;20240716;14:00;Business Inventories;United States;USD;1
USD_NAHBHousingMarketIndex;20240716;14:00;NAHB Housing Market Index;United States;USD;1
NZD_GDTPriceIndex;20240716;15:00;GDT Price Index;New Zealand;NZD;1
USD_CentralBankSpeech;20240716;18:45;Fed Kugler speech;United States;USD;2
USD_APIWeeklyCrudeOilStock;20240716;20:30;API Weekly Crude Oil Stock;United States;USD;1
NZD_ConsumerPriceIndex;20240716;22:45;Consumer Price Index (YoY);New Zealand;NZD;3
