NZD_CreditCardSpending;20240719;03:00;Credit Card Spending (YoY);New Zealand;NZD;1
EUR_GerProducerPriceIndex;20240719;06:00;Producer Price Index (MoM);Germany;EUR;2
GBP_RetailSales;20240719;06:00;Retail Sales ex-Fuel (YoY);United Kingdom;GBP;2
GBP_PublicSectorNetBorrowing;20240719;06:00;Public Sector Net Borrowing;United Kingdom;GBP;1
EUR_EurCurrentAccount;20240719;08:00;Current Account n.s.a;Eurozone;EUR;1
INR_FXReservesUSD;20240719;11:30;FX Reserves, USD;India;INR;1
CAD_IndustrialProductPrice;20240719;12:30;Industrial Product Price (MoM);Canada;CAD;1
CAD_RawMaterialPriceIndex;20240719;12:30;Raw Material Price Index;Canada;CAD;1
CAD_RetailSales;20240719;12:30;Retail Sales (MoM);Canada;CAD;2
COP_TradeBalance;20240719;15:00;Trade Balance;Colombia;COP;1
USD_BakerHughesUSOilRigCount;20240719;17:00;Baker Hughes US Oil Rig Count;United States;USD;1
USD_CentralBankSpeech;20240719;17:00;Fed Bostic speech;United States;USD;2
USD_CFTCGoldNCNetPositions;20240719;19:30;CFTC Gold NC Net Positions;United States;USD;1
USD_CFTCOilNCNetPositions;20240719;19:30;CFTC Oil NC Net Positions;United States;USD;1
USD_CFTCS&P500NCNetPositions;20240719;19:30;CFTC S&P 500 NC Net Positions;United States;USD;1
GBP_CFTCGBPNCNetPositions;20240719;19:30;CFTC GBP NC Net Positions;United Kingdom;GBP;1
JPY_CFTCJPYNCNetPositions;20240719;19:30;CFTC JPY NC Net Positions;Japan;JPY;1
EUR_EurCFTCEURNCNetPositions;20240719;19:30;CFTC EUR NC Net Positions;Eurozone;EUR;1
AUD_CFTCAUDNCNetPositions;20240719;19:30;CFTC AUD NC Net Positions;Australia;AUD;1
