SEK_ProducerPriceIndex;20240725;06:00;Producer Price Index (YoY);Sweden;SEK;1
EUR_FraBusinessClimateinManufacturing;20240725;06:45;Business Climate in Manufacturing;France;EUR;1
TRY_ManufacturingConfidence;20240725;07:00;Manufacturing Confidence;Turkey;TRY;1
TRY_CapacityUtilization;20240725;07:00;Capacity Utilization;Turkey;TRY;1
EUR_EurEurogroupMeeting;20240725;07:00;Eurogroup Meeting;Eurozone;EUR;2
EUR_GerIFO–CurrentAssessment;20240725;08:00;IFO – Current Assessment;Germany;EUR;2
EUR_GerIFO–Expectations;20240725;08:00;IFO – Expectations;Germany;EUR;2
EUR_GerIFO–BusinessClimate;20240725;08:00;IFO – Business Climate;Germany;EUR;2
EUR_EurPrivateLoans;20240725;08:00;Private Loans (YoY);Eurozone;EUR;1
EUR_EurM3MoneySupply;20240725;08:00;M3 Money Supply (3m);Eurozone;EUR;1
ZAR_ProducerPriceIndex;20240725;09:30;Producer Price Index (MoM);South Africa;ZAR;1
BRL_MidmonthInflation;20240725;12:00;Mid-month Inflation;Brazil;BRL;1
USD_JoblessClaims;20240725;12:30;Continuing Jobless Claims;United States;USD;1
USD_GrossDomesticProduct;20240725;12:30;Gross Domestic Product Annualized;United States;USD;3
USD_PersonalConsumptionExpendituresPrices;20240725;12:30;Personal Consumption Expenditures Prices (QoQ);United States;USD;2
USD_CorePersonalConsumptionExpenditures;20240725;12:30;Core Personal Consumption Expenditures (QoQ);United States;USD;2
USD_DurableGoodsOrders;20240725;12:30;Durable Goods Orders ex Transportation;United States;USD;2
USD_NondefenseCapitalGoodsOrdersexAircraft;20240725;12:30;Nondefense Capital Goods Orders ex Aircraft;United States;USD;2
BRL_CurrentAccount;20240725;12:30;Current Account;Brazil;BRL;1
RUB_CentralBankReserves;20240725;13:00;Central Bank Reserves $;Russia;RUB;1
USD_PendingHomeSales;20240725;14:00;Pending Home Sales (MoM);United States;USD;2
USD_EIANaturalGasStorageChange;20240725;14:30;EIA Natural Gas Storage Change;United States;USD;1
USD_KansasFedManufacturingActivity;20240725;15:00;Kansas Fed Manufacturing Activity;United States;USD;1
EUR_EurCentralBankSpeech;20240725;15:00;ECB President Lagarde speech;Eurozone;EUR;3
USD_Auction;20240725;17:00;7-Year Note Auction;United States;USD;1
NZD_ANZ–RoyMorganConsumerConfidence;20240725;22:00;ANZ – Roy Morgan Consumer Confidence;New Zealand;NZD;2
JPY_TokyoCPIexFreshFood;20240725;23:30;Tokyo CPI ex Fresh Food (YoY);Japan;JPY;2
JPY_ConsumerPriceIndex;20240725;23:30;Tokyo Consumer Price Index (YoY);Japan;JPY;3
JPY_TokyoCPIexFoodEnergy;20240725;23:30;Tokyo CPI ex Food, Energy (YoY);Japan;JPY;3
