STRATEGY;CONFIG;LEG1;LEG2;LEG3;STARTTIME;ENDTIME;OR_SPREAD_COR;SPREAD_COR;TSTIME;TETIME
SL3L;SL3L;XCME.6E.0;XCME.GE.2;XLIF.I.2;080000;215900;1;1;080000;210000
SL3L;SL3L;XCME.6E.0;XCME.GE.4;XLIF.I.4;080000;215900;1;1;080000;210000
SL3L;SL3L;XCME.6E.0;XCME.GE.6;XLIF.I.6;080000;215900;1;1;080000;210000
SL3L;SL3L;XCME.6E.0;XCME.GE.8;XLIF.I.8;080000;215900;1;1;080000;210000
SL3L;SL3L;XCME.6E.0;XCME.GE.10;XLIF.I.10;080000;215900;1;1;080000;210000
SL3L;SL3L;XCME.6E.0;XCME.GE.12;XLIF.I.12;080000;215900;1;1;080000;210000
SL3L;SL3L;XCME.6B.0;XCME.GE.2;XLIF.L.2;090000;185900;1;1;090000;185900
SL3L;SL3L;XCME.6B.0;XCME.GE.4;XLIF.L.4;090000;185900;1;1;090000;185900
SL3L;SL3L;XCME.6B.0;XCME.GE.6;XLIF.L.6;090000;185900;1;1;090000;185900
SL3L;SL3L;XCME.6B.0;XCME.GE.8;XLIF.L.8;090000;185900;1;1;090000;185900
