DATE;PNL
20160301;-4021.36359062
20160302;7673.14680963
20160303;-1255.80359626
20160304;5349.04841542
20160307;2989.32434426
20160308;-2141.05644126
20160309;-2759.43532911
20160310;-1916.77328244
20160311;5528.92876739
20160314;-3847.89880492
20160315;-4255.74231502
20160316;6553.23725184
20160317;9992.13996432
20160318;4836.58454559
20160321;660.86087221
20160322;-308.09046326
20160323;4178.66710592
20160324;2842.51250024
20160325;0.0
20160328;-1.80400004387
20160329;15.33011322
20160330;2752.15606202
20160331;2681.79234513
20160401;5371.18949776
20160404;-3763.30319128
20160405;-5668.30155952
20160406;-1627.21779403
20160407;-2010.27347383
20160408;-2518.53579592
20160411;-474.31352281
20160412;1673.9741211
20160413;6967.99617568
20160414;3221.92820406
20160415;997.235528517
20160418;3248.15632782
20160419;-133.30475083
20160420;2516.23975167
20160421;8000.51493454
20160422;-787.278225458
20160425;-2019.39804993
20160426;2901.00304794
20160427;-1810.49804058
20160428;-1414.73955079
20160429;-1676.71933594
20160502;2182.08241912
20160503;820.410176847
20160504;-370.78237982
20160505;503.357984778
20160506;1147.1664525
20160509;3123.73783059
20160510;-4835.59380851
20160511;1414.78702774
20160512;-307.720521927
20160513;-1518.68386278
20160516;2340.72436533
20160517;-5108.78611537
20160518;-4348.82610532
20160519;4159.2816626
20160520;1946.75947293
20160523;891.816921854
20160524;1297.8891097
20160525;-5465.63394542
20160526;2640.98522806
20160527;19.17232761
20160530;-558.476528704
20160531;2908.71896462
20160601;-3942.84385681
20160602;1807.22796402
20160603;2174.23464966
20160606;3498.49043293
20160607;-628.645675563
20160608;-2567.13333869
20160609;124.73493306
20160610;-98.923906425
20160613;1396.48613968
20160614;-1887.34525404
20160615;1886.66062688
20160616;-4545.00602332
20160617;518.924235628
20160620;6676.45306368
20160621;-118.926579258
20160622;3226.97107821
20160623;-3159.02597961
20160624;18521.3477287
20160627;-5031.19739075
20160628;3330.1638658
20160629;-998.056319476
20160630;-2121.51471676
20160701;2522.93056526
