DATE;PNL
20170601;2192.46304092
20170602;124423.852905
20170605;731.034054279
20170606;2587.75211296
20170607;48372.8803039
20170612;9813.38332939
20170613;5918.86386995
20170614;116247.055868
20170616;-11326.9040491
20170619;6809.93674926
20170620;-23608.3908453
20170621;-10712.5875378
20170622;-14736.6469715
20170623;-2713.13376274
20170626;-70315.1279069
20170627;-51658.167901
20170628;-28869.0483352
20170629;3451.15712128
20170630;54046.226617
20170703;27667.7055069
20170704;16036.8439377
20170705;-735.59649158
20170706;-30667.6397595
20170707;-14453.4097633
20170710;1968.69968076
20170711;1705.83995819
20170712;16317.0297421
20170713;4000.39459991
20170714;-5362.6394104
20170717;13726.0815052
20170718;19924.494144
20170719;28726.879076
