Period 0: 2015-01-12 2017-01-06 2017-01-07 2017-01-13
Period 1: 2015-01-19 2017-01-13 2017-01-14 2017-01-20
Period 2: 2015-01-26 2017-01-20 2017-01-21 2017-01-27
Period 3: 2015-02-02 2017-01-27 2017-01-28 2017-02-03
Period 4: 2015-02-09 2017-02-03 2017-02-04 2017-02-10
Period 5: 2015-02-16 2017-02-10 2017-02-11 2017-02-17
Period 6: 2015-02-23 2017-02-17 2017-02-18 2017-02-24
Period 7: 2015-03-02 2017-02-24 2017-02-25 2017-03-03
Period 8: 2015-03-09 2017-03-03 2017-03-04 2017-03-10
Period 9: 2015-03-16 2017-03-10 2017-03-11 2017-03-17
Period 10: 2015-03-23 2017-03-17 2017-03-18 2017-03-24
Period 11: 2015-03-30 2017-03-24 2017-03-25 2017-03-31
Period 12: 2015-04-06 2017-03-31 2017-04-01 2017-04-07
Period 13: 2015-04-13 2017-04-07 2017-04-08 2017-04-14
Period 14: 2015-04-20 2017-04-14 2017-04-15 2017-04-21
Period 15: 2015-04-27 2017-04-21 2017-04-22 2017-04-28
Period 16: 2015-05-04 2017-04-28 2017-04-29 2017-05-05
Period 17: 2015-05-11 2017-05-05 2017-05-06 2017-05-12
Period 18: 2015-05-18 2017-05-12 2017-05-13 2017-05-19
Period 19: 2015-05-25 2017-05-19 2017-05-20 2017-05-26
Period 20: 2015-06-01 2017-05-26 2017-05-27 2017-06-02
Period 21: 2015-06-08 2017-06-02 2017-06-03 2017-06-09
Period 22: 2015-06-15 2017-06-09 2017-06-10 2017-06-16
Period 23: 2015-06-22 2017-06-16 2017-06-17 2017-06-23
Period 24: 2015-06-29 2017-06-23 2017-06-24 2017-06-30
Period 25: 2015-07-06 2017-06-30 2017-07-01 2017-07-07
Period 26: 2015-07-13 2017-07-07 2017-07-08 2017-07-14
Period 27: 2015-07-20 2017-07-14 2017-07-15 2017-07-21
Period 28: 2015-07-27 2017-07-21 2017-07-22 2017-07-28
Period 29: 2015-08-03 2017-07-28 2017-07-29 2017-08-04
Period 30: 2015-08-10 2017-08-04 2017-08-05 2017-08-11
Period 31: 2015-08-17 2017-08-11 2017-08-12 2017-08-18
Period 32: 2015-08-24 2017-08-18 2017-08-19 2017-08-25
Period 33: 2015-08-31 2017-08-25 2017-08-26 2017-09-01
Period 34: 2015-09-07 2017-09-01 2017-09-02 2017-09-08
Period 35: 2015-09-14 2017-09-08 2017-09-09 2017-09-15
Period 36: 2015-09-21 2017-09-15 2017-09-16 2017-09-22
Period 37: 2015-09-28 2017-09-22 2017-09-23 2017-09-29
Period 38: 2015-10-05 2017-09-29 2017-09-30 2017-10-06
