DATE;PNL
20160104;-943342.0
20160105;210468.1
20160106;37355.0
20160107;-115578.8
20160108;78915.0
20160111;489582.0
20160112;-57483.0
20160113;179450.5
20160114;-235960.7
20160115;322113.5
20160118;-128640.7
20160119;165919.5
20160120;-519406.9
20160121;130432.23
20160122;292730.5
20160125;-12000.5
20160126;192921.6
20160127;1148803.8
20160128;-69078.1
20160129;877009.5
20160201;110106.2
20160202;-52860.91
20160203;-1462152.0
20160204;-668159.57
20160205;1639194.0
20160209;428907.1
20160210;-306169.1
20160211;2003112.0
20160212;490787.72
20160215;-59485.2
20160216;10407.8
20160217;-197680.15
20160218;647574.9
20160219;21692.423
20160222;48565.2
20160223;241109.4
20160224;1192438.9
20160225;542152.17
20160226;-164397.0
20160229;303175.0
20160301;-330295.0
20160302;173194.31
20160303;363954.3
20160304;49104.5
20160307;-202052.0
20160308;-78875.373
20160309;-391465.0
20160310;-1611218.51
20160311;-603248.0
20160314;78034.0
20160315;195116.8
20160316;164277.6
20160317;191033.0
20160318;218001.74
20160321;-258861.0
20160322;-77443.4
20160323;699780.7
20160324;-27207.9
20160329;-89485.8
20160330;241207.2
20160331;-449553.29
20160401;920484.0
20160404;-68954.2
20160405;-4950.0
20160406;-953834.21
20160407;-207693.0
20160408;477182.0
20160411;445735.6
20160412;-538015.1
20160413;706733.3
20160414;-14751.7
20160415;312975.6
20160418;-59771.0
20160419;120812.0
20160420;250293.2
20160421;-848950.5
20160422;356890.0
20160425;-210595.33
20160426;171838.1
20160427;-169064.87
20160428;64472.8
20160429;-189841.7
20160503;-415091.03
20160504;546104.1
20160505;-208906.7
20160506;78359.0
20160509;628726.6
20160510;-305265.9
20160511;-127183.3
20160512;357663.0
20160513;-522884.4
20160516;328353.32
20160517;-418317.19
20160518;-124426.9
20160519;335551.7
20160520;338461.45
20160523;53685.0
20160524;714738.9
20160525;-26888.3
20160526;47506.2
20160527;136205.3
20160531;-92358.4
20160601;-401635.6
20160602;-318232.8
20160603;-293424.1
20160606;540115.9
20160607;-153738.4
20160608;-27024.4
20160609;-461836.0
20160610;294817.2
20160613;417908.7
20160614;-876366.0
20160615;-37738.0
20160616;-417483.5
20160617;75453.6
20160620;809671.0
20160621;132488.8
20160622;281229.0
20160623;80203.8
20160624;3373195.0
20160627;-179498.0
20160628;-87286.6
20160629;330775.7
20160630;159591.0
20160701;601187.7
20160704;203713.9
20160705;957924.7
20160706;257918.6
20160707;108993.9
20160708;277211.0
20160711;147988.4
20160712;-416458.4
20160713;-392434.3
20160714;-392457.7
20160715;148571.9
20160718;-247453.5
20160719;67923.0
20160720;259030.78
20160721;673978.11
20160722;140441.25
20160725;127992.27
20160726;460656.3
20160727;-52299.5
20160728;-54772.6
20160729;-563681.5
20160801;259152.9
20160802;109485.8
20160803;-66286.2
20160804;95558.2
20160805;-1304306.0
20160808;-381373.8
20160809;-774533.0
20160810;-341014.8
20160811;42317.7
20160812;369648.4
20160815;110561.3
20160816;94823.3
20160817;748842.2
20160818;-260090.5
20160819;-21915.6
20160822;355338.0
20160823;-36396.06
20160824;341094.2
20160825;-115903.1
20160826;-1728026.1
20160830;-42159.378
20160831;-7955.1
20160901;1262103.0
20160902;-74050.3
20160905;-63773.02
20160906;1310895.0
20160907;283365.74
20160908;373346.5
20160912;680380.3
20160913;282802.9
20160915;-122892.7
20160916;-257426.2
20160919;440150.4
20160920;190501.2
20160921;1234059.9
20160922;-222535.2
20160923;106061.4
20160926;316817.4
20160927;328528.5
20160928;64482.32
20160929;-296576.056
20160930;-838635.2
20161003;-307970.7
20161004;-620972.81
20161005;321747.4
20161006;-1359495.0
20161007;-166815.0
20161010;-239412.7
20161011;-691419.1
20161012;65286.94
20161013;481850.6
20161014;-644954.8
20161017;595886.2
20161018;436243.7
20161019;204894.7
20161020;-949432.9
20161021;-273554.1
20161024;225928.6
20161025;-16800.9
20161026;584020.0
20161027;506539.4
20161028;878417.6
20161031;171591.7
20161101;-716196.33
20161102;379459.1
20161103;257554.0
20161104;296713.4
20161107;12769.6
20161108;-531321.0
20161109;-1347835.0
20161110;-203927.0
20161111;69895.1
20161114;240336.6
20161115;-68842.2
20161116;731566.6
20161117;-346035.6
20161118;571729.8
20161121;-167008.5
20161122;-306232.2
20161123;-756849.3
20161124;267442.99
20161125;-39928.7
20161128;-145179.0
20161129;-254532.3
20161130;453399.6
20161201;-219250.59
20161202;-472370.5
20161205;-675644.0
20161206;230887.235
20161207;275450.3
20161208;1069490.1
20161209;-800144.0
20161212;144051.4
20161213;353252.5
20161214;993610.5
20161215;-460777.4
20161216;-751334.0
20161219;-22727.0
20161220;-5456.94
20161221;322523.1
20161222;338113.2
20161223;41972.71
20161228;443923.3
20161229;381015.1
20161230;-263853.7
20170103;-964897.475
20170104;296821.0
20170105;319353.1
20170106;415460.95
20170109;-257881.4
20170110;367301.3
20170111;-913982.7
20170112;249699.9
20170113;-80156.61
20170116;272155.2
20170117;184112.4
20170118;554521.5
20170119;986052.0
20170120;405938.7
20170123;869471.6
20170124;777521.6
20170201;920781.0
20170202;453019.3
20170203;271404.3
20170206;54579.3
20170207;-255421.01
20170208;216416.7
20170209;359923.1
20170210;129547.44
20170213;64736.5
20170214;716286.0
20170215;-1073.2
20170216;148619.0
20170217;375543.0
20170220;-18476.6
20170221;-214356.8
20170222;-446835.0
20170223;499165.0
20170224;-939188.5
20170227;408212.2
20170228;365145.6
20170301;444774.1
20170302;53550.8
20170303;559046.8
20170306;-761546.6
20170307;-444434.6
20170308;59731.4
20170309;309759.6
20170310;742245.6
20170313;-1096574.0
20170314;712591.0
20170315;272900.5
20170316;850760.5
20170317;98441.6
20170320;-100122.0
20170321;-1236781.0
20170322;132215.72
20170323;318625.1
20170324;311025.7
20170327;-172484.0
20170328;465197.17
20170329;673146.3
20170330;-107075.9
20170331;-85307.36
20170403;754693.0
20170404;284391.3
20170405;73924.0
20170406;-7771.1
20170407;433791.0
20170410;236377.2
20170411;-131076.0
20170412;-3202.9
20170413;77457.49
20170418;-669199.5
20170419;704896.7
20170420;-328955.32
20170421;-387365.7
20170424;-1051698.6
20170425;-78300.6
20170426;511936.7
20170428;53999.3
20170503;404906.2
20170504;252408.5
20170505;246592.83
20170508;-55413.1
20170509;-662099.3
20170510;221525.27
20170511;73550.18
20170512;3291.3
20170515;-291128.6
20170517;24788.0
20170518;490105.7
20170519;-219560.1
20170522;115411.7
20170523;460166.1
20170524;-119128.04
20170525;390637.2
20170526;377347.9
20170530;227089.66
20170531;-936024.9
20170601;-120589.3
20170602;634508.2
20170605;-204855.65
20170606;338777.4
20170607;-728082.3
20170608;1066813.0
20170609;-383880.9
20170612;-40202.4
20170613;298322.3
20170614;308230.8
20170615;-702339.0
20170616;-116368.0
20170619;123627.2
20170620;462532.9
20170621;-69901.3
20170622;221888.15
20170623;-314021.6
20170626;-358132.8
20170627;683995.0
20170628;67688.2
20170630;-7707.6
20170703;302702.81
20170704;286336.1
20170705;288833.0
20170706;624132.2
20170707;272680.9
20170710;258926.2
20170711;81418.7
20170712;-88971.5
20170713;663060.0
20170714;-49917.1
20170717;87265.7
20170718;-517541.8
20170719;2629.2
20170720;-1700713.4
20170721;-134873.6
20170724;149558.26
20170725;386749.0
20170726;628683.9
20170727;234962.71
20170728;485497.6
20170731;-862729.61
20170801;662530.6
20170802;-432022.2
20170803;100866.1
20170804;-173425.6
20170807;-235800.18
20170808;-52894.6
20170809;-13142.9
20170810;110041.9
20170811;-202723.185
20170814;-224116.8
20170815;-8042.6
20170816;590651.3
20170817;-420458.5
20170818;-33656.4
20170821;-130081.6
20170822;56169.6
20170823;-188480.0
20170824;37785.98
20170825;-293927.3
20170829;32126.0
20170830;414053.1
20170831;561793.557
20170901;-302015.9
20170904;105308.13
20170905;74046.2
20170906;131173.9
20170907;546063.6
20170908;692029.7
20170911;-150215.13
20170912;-450271.514
20170913;409611.0
20170914;-603041.7
20170915;-574537.6
20170918;210575.0
20170919;-34577.9
20170920;690991.0
20170921;126242.43
20170922;44884.83
20170925;-375459.3
20170926;-152409.4
20170927;-265630.8
20170928;167500.0
20170929;-291797.1
20171002;190488.0
20171003;374726.5
20171004;-12555.9
20171005;-438654.6
20171006;278980.7
20171009;-267133.5
20171010;-207701.0
20171011;106473.9
20171012;-448402.5
20171013;266372.5
20171016;35044.8
20171017;-610233.7
20171018;-20239.8
20171019;56536.86
20171020;399697.1
20171023;394112.6
20171024;328324.0
20171025;105150.6
20171026;-374541.8
20171027;29607.0
20171030;168863.756
20171031;7569.5
20171101;277083.0
20171102;211475.97
20171103;182286.8
20171106;143748.3
20171107;-127983.9
20171108;224933.986
20171109;453439.3
20171110;310640.8
20171113;42868.7
20171114;-1054249.89
20171115;231765.0
20171116;341596.8
20171117;819552.1
20171120;47229.9
20171121;-312117.0
20171122;225262.3
20171123;-114336.2
20171124;-261633.9
20171127;-557943.9
20171128;-21440.7
20171129;-583021.9
20171130;-1654531.0
20171201;966382.0
20171204;315396.7
20171205;170136.3
20171206;-15672.01
20171207;-548801.7
20171208;345000.7
20171211;-47950.0
20171212;-41724.9
20171213;518072.7
20171214;218955.7
20171215;-59129.2
20171218;-297706.4
20171219;581915.0
20171220;356932.9
20171221;155469.6
20171222;46150.73
20171227;-905989.7
20171228;-75169.5
20171229;-163660.4
20180102;-194744.0
20180103;120930.4
20180104;-189849.4
20180105;317677.7
20180108;87723.2
20180109;-417796.0
20180110;-793073.3
20180111;290303.2
20180112;-782879.0
20180115;-451657.1
20180116;38527.63
20180117;173140.19
20180118;-2577.6
20180119;-126493.91
20180122;-1030.9
20180123;52561.058
20180124;319824.0
20180125;-492877.0
20180126;-306398.3
20180129;42642.3
20180130;366318.6
20180131;-255896.82
20180201;-177590.7
20180202;607228.0
20180205;1946420.3
20180206;-1454400.9
20180207;-296136.4
20180208;1567020.0
20180209;41822.0
20180212;178612.0
20180213;-256599.2
20180214;-270380.0
20180215;361720.7
20180216;191956.0
20180219;6018.3
20180220;68936.01
20180221;280618.43
20180222;561674.0
20180223;643598.6
20180226;43407.4
20180227;-85710.8
20180228;-18284.79
20180301;913030.0
20180302;-71167.3
20180305;-409997.2
20180306;-581021.2
20180307;66003.3
20180308;-192638.9
20180309;-320273.65
20180312;224286.4
20180313;427921.6
20180314;-111377.4
20180315;335657.353
20180316;110704.4
20180319;-511740.0
20180320;-199452.8
20180321;-378164.1
20180322;582301.7
20180323;474212.7
20180326;51136.4
20180327;477038.94
20180328;-254094.0
20180329;822607.17
20180403;815390.5
20180404;92590.7
20180405;-170544.8
20180406;-880572.8
20180409;240944.2282
20180410;-154435.7
20180411;24098.3
20180412;-679287.4
20180413;-316747.3
20180416;51222.0
20180417;5027.63
20180418;480263.1
20180419;247023.4
20180420;-319570.0
