Product,ExpoLimit
CFX.EURGBP.0,5000000
CFX.EURUSD.0,5000000
CFX.GBPUSD.0,5000000
CFX.USDCAD.0,5000000
CFX.GBPCAD.0,5000000
CFX.EURCAD.0,5000000
XCME.ZB.0,188
XCME.ZN.0,232
XCME.ZF.0,252
XCME.ZT.0,184
XEUR.FGBX.0,48
XEUR.FGBL.0,129
XEUR.FGBM.0,129
XEUR.FGBS.0,129
XEUR.FOAT.0,118
XEUR.FBTP.0,54
XLIF.R.0,150
XLIF.I.1,140
XLIF.I.2,140
XLIF.I.3,140
XLIF.I.4,140
XLIF.I.5,140
XLIF.I.6,140
XLIF.I.7,140
XLIF.I.8,140
XLIF.I.9,140
XLIF.I.10,140
XLIF.I.11,140
XLIF.I.12,140
XLIF.I.13,140
XLIF.I.14,140
XLIF.I.16,140
XLIF.L.1,120
XLIF.L.2,120
XLIF.L.3,120
XLIF.L.4,120
XLIF.L.5,120
XLIF.L.6,120
XLIF.L.7,120
XLIF.L.8,120
XLIF.L.9,120
XLIF.L.10,120
XLIF.L.11,120
XLIF.L.12,120
XLIF.L.13,120
XLIF.L.14,120
XLIF.L.15,120
XLIF.L.16,120
XEUR.FESX.0,270
XEUR.FDAX.0,24
XLIF.Z.0,108
XCME.GE.1,260
XCME.GE.2,260
XCME.GE.3,260
XCME.GE.4,260
XCME.GE.5,260
XCME.GE.6,260
XCME.GE.7,260
XCME.GE.8,260
XCME.GE.9,260
XCME.GE.10,260
XCME.GE.11,260
XCME.GE.12,260
XCME.GE.13,260
XCME.GE.14,260
XCME.GE.15,260
XCME.GE.16,260
XCME.NQ.0,60
XCME.YM.0,42
XCME.6E.0,70
XCME.6B.0,70
XCME.6A.0,146
XCME.6J.0,138
XCME.6C.0,130
XCME.6S.0,46
XCME.6N.0,62
XCME.ES.0,192
XCME.NIY.0,28
XTMX.BAX.1,70
XTMX.BAX.2,70
XTMX.BAX.3,70
XTMX.BAX.4,70
XTMX.BAX.5,70
XTMX.BAX.6,70
XTMX.BAX.7,70
XTMX.BAX.8,70
XTMX.CGB.0,70
XTMX.SXF.0,70
